Play,Expert,Team,Name,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit
P.Skenes u1.5 Earned Runs,LinesAtLunch,Pittsburgh Pirates,P.Skenes,Miami Marlins,1.0,0.5263157894736842,1,0.4,0,0.4,0,-130,1.3,2.3,0.9999999999999998
C.Sanchez o1.5 earned runs,Rotowire,Philadelphia Phillies,C.Sanchez,Tampa Bay Rays,1.0,0.5555555555555556,1,0.8,1,0.8,1,100,0.75,1.5,0.75
