,Play,Expert,Odds,Units,Payout,Profit,Name,Team,Opponent,Hmcrt_adv
0,A.Verdugo o0.5 Runs Scored,Thespinzone,132,0.1,0.232,0.132,A.Verdugo,Boston Red Sox,Chicago Cubs,0.0
1,C.Bellinger o0.5 Runs Scored,Thespinzone,150,0.15,0.375,0.225,C.Bellinger,Chicago Cubs,Boston Red Sox,1.0
2,G.Springer o0.5 Runs Scored,Thespinzone,102,0.11,0.2222,0.1122,G.Springer,Toronto Blue Jays,Arizona Diamondbacks,1.0
