,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,F.Valdez u4.5 Ks,kylemurray03,-113,1.13,F.Valdez,2.13,1.0,Houston Astros,Toronto Blue Jays,0.0,0.4285714285714285,0,0.2,0,0.5,0
3,C.Burnes u7.5 Ks,kylemurray03,-115,1.2,C.Burnes,2.243478260869565,1.0434782608695652,Baltimore Orioles,Seattle Mariners,0.0,0.8823529411764706,1,1.0,1,0.9,1
16,C.Burnes u7.5 strikeouts,Rotowire,100,0.75,C.Burnes,1.5,0.75,Baltimore Orioles,Seattle Mariners,0.0,0.8823529411764706,1,1.0,1,0.9,1
20,K.Tyler u3.5 strikeouts,Rotowire,100,0.75,K.Tyler,1.5,0.75,Miami Marlins,Boston Red Sox,1.0,0.5,0,0.5,0,0.5,0
21,C.Sanchez u5.5 strikeouts,Rotowire,100,0.75,C.Sanchez,1.5,0.75,Philadelphia Phillies,Chicago Cubs,0.0,0.625,1,0.8,1,0.7,1
22,C.Burnes u7.5 strikeouts,Rotowire Prizepicks,100,1.5,C.Burnes,3.0,1.5,Baltimore Orioles,Seattle Mariners,0.0,0.8823529411764706,1,1.0,1,0.9,1
25,M.Scherzer u4.5 strikeouts,Rotowire Prizepicks,100,1.5,M.Scherzer,3.0,1.5,Texas Rangers,San Diego Padres,1.0,1.0,1,1.0,1,1.0,1
28,J.Sears u4.5 strikeouts,Rotowire Prizepicks,100,1.5,J.Sears,3.0,1.5,Oakland Athletics,Los Angeles Angels,1.0,0.5882352941176471,1,0.6,1,0.7,1
2,A.Marsh o4.5 Ks,kylemurray03,-125,1.25,A.Marsh,2.25,1.0,Kansas City Royals,Tampa Bay Rays,1.0,0.6,1,0.6,1,0.7,1
3,Z.Gallen o4.5 Ks,cowhitchurch,-155,0.78,Z.Gallen,1.2832258064516129,0.5032258064516129,Arizona Diamondbacks,Los Angeles Dodgers,0.0,0.6666666666666666,1,0.6,1,0.7,1
4,N.Pivetta o5.5 ks,Jason Radowitz,-138,1.0,N.Pivetta,1.7246376811594204,0.7246376811594204,Boston Red Sox,Miami Marlins,0.0,0.4166666666666667,0,0.2,0,0.4,0
5,C.Burnes o7.5 ks,Jason Radowitz,104,1.0,C.Burnes,2.04,1.04,Baltimore Orioles,Seattle Mariners,0.0,0.1176470588235294,0,0.0,0,0.1,0
8,C.Bassitt o4.5 strikeouts,Rotowire,100,0.75,C.Bassitt,1.5,0.75,Toronto Blue Jays,Houston Astros,1.0,0.6470588235294118,1,0.8,1,0.8,1
10,F.Valdez o4.5 strikeouts,Rotowire Prizepicks,100,1.5,F.Valdez,3.0,1.5,Houston Astros,Toronto Blue Jays,0.0,0.5714285714285714,1,0.8,1,0.5,0
11,L.Knack o4.5 strikeouts,Rotowire Prizepicks,100,1.5,L.Knack,3.0,1.5,Los Angeles Dodgers,Arizona Diamondbacks,1.0,0.5,0,0.6,1,0.5,0
12,M.King o5.5 strikeouts,Rotowire Prizepicks,100,1.5,M.King,3.0,1.5,San Diego Padres,Texas Rangers,0.0,0.6470588235294118,1,0.8,1,0.8,1
