,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Freddy Peralta,Milwaukee Brewers,Pittsburgh Pirates,0,5.1,4,3,3,1,4,1
1,Trevor Megill,Milwaukee Brewers,Pittsburgh Pirates,0,0.2,1,0,0,0,2,0
2,Elvis Peguero,Milwaukee Brewers,Pittsburgh Pirates,0,0.2,2,2,2,1,1,0
3,Hoby Milner,Milwaukee Brewers,Pittsburgh Pirates,0,0.1,1,0,0,0,1,0
4,Abner Uribe,Milwaukee Brewers,Pittsburgh Pirates,0,1.0,0,0,0,0,3,0
5,Colin Selby,Pittsburgh Pirates,Milwaukee Brewers,1,1.0,1,3,3,3,2,1
6,Bailey Falter,Pittsburgh Pirates,Milwaukee Brewers,1,3.2,1,0,0,0,3,0
7,Cody Bolton,Pittsburgh Pirates,Milwaukee Brewers,1,1.1,2,0,0,1,2,0
8,Carmen Mlodzinski,Pittsburgh Pirates,Milwaukee Brewers,1,1.0,0,0,0,0,0,0
9,Colin Holderman,Pittsburgh Pirates,Milwaukee Brewers,1,1.0,3,1,1,0,0,0
10,David Bednar,Pittsburgh Pirates,Milwaukee Brewers,1,1.0,1,0,0,0,2,0
0,Joe Ryan,Minnesota Twins,Cleveland Guardians,0,4.0,4,2,2,1,3,0
1,Louie Varland,Minnesota Twins,Cleveland Guardians,0,3.0,1,0,0,1,2,0
2,Kody Funderburk,Minnesota Twins,Cleveland Guardians,0,1.0,0,0,0,0,1,0
3,Gavin Williams,Cleveland Guardians,Minnesota Twins,1,5.0,1,1,1,4,4,0
4,Sam Hentges,Cleveland Guardians,Minnesota Twins,1,1.0,1,0,0,0,2,0
5,Reynaldo López,Cleveland Guardians,Minnesota Twins,1,1.0,0,0,0,1,2,0
6,Nick Sandlin,Cleveland Guardians,Minnesota Twins,1,1.0,0,0,0,0,2,0
7,Emmanuel Clase,Cleveland Guardians,Minnesota Twins,1,1.0,0,0,0,0,1,0
0,Alex Wood,San Francisco Giants,Chicago Cubs,0,2.1,5,5,5,1,2,0
