,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Ranger Suárez,Philadelphia Phillies,Miami Marlins,0,6.1,10,1,1,2,3,0
1,Yunior Marte,Philadelphia Phillies,Miami Marlins,0,0.2,0,0,0,2,0,0
2,Gregory Soto,Philadelphia Phillies,Miami Marlins,0,1.0,1,0,0,0,1,0
3,Seranthony Domínguez,Philadelphia Phillies,Miami Marlins,0,1.0,0,0,0,0,1,0
4,Sandy Alcantara,Miami Marlins,Philadelphia Phillies,1,8.0,4,0,0,1,5,0
5,David Robertson,Miami Marlins,Philadelphia Phillies,1,1.0,2,3,3,1,1,1
0,Zach Eflin,Tampa Bay Rays,New York Yankees,0,6.0,3,0,0,0,5,0
1,Shawn Armstrong,Tampa Bay Rays,New York Yankees,0,2.0,0,0,0,0,1,0
2,Colin Poche,Tampa Bay Rays,New York Yankees,0,0.2,4,2,2,0,0,0
3,Pete Fairbanks,Tampa Bay Rays,New York Yankees,0,0.1,0,0,0,0,1,0
4,Carlos Rodón,New York Yankees,Tampa Bay Rays,1,4.0,4,4,4,4,5,2
5,Ian Hamilton,New York Yankees,Tampa Bay Rays,1,2.0,2,1,1,2,1,0
6,Albert Abreu,New York Yankees,Tampa Bay Rays,1,1.0,0,0,0,1,0,0
7,Nick Ramirez,New York Yankees,Tampa Bay Rays,1,2.0,0,0,0,0,0,0
0,Matt Manning,Detroit Tigers,Pittsburgh Pirates,0,6.0,8,4,4,0,6,1
1,Chasen Shreve,Detroit Tigers,Pittsburgh Pirates,0,1.0,0,0,0,0,0,0
2,Trey Wingenter,Detroit Tigers,Pittsburgh Pirates,0,1.0,0,0,0,0,1,0
3,Johan Oviedo,Pittsburgh Pirates,Detroit Tigers,1,7.0,6,1,1,2,5,0
4,Angel Perdomo,Pittsburgh Pirates,Detroit Tigers,1,1.0,0,0,0,0,1,0
5,David Bednar,Pittsburgh Pirates,Detroit Tigers,1,1.0,0,0,0,0,2,0
0,Freddy Peralta,Milwaukee Brewers,Washington Nationals,0,6.0,6,3,3,2,7,0
1,Abner Uribe,Milwaukee Brewers,Washington Nationals,0,1.0,1,1,1,0,1,0
2,Joel Payamps,Milwaukee Brewers,Washington Nationals,0,1.0,0,0,0,0,1,0
3,Devin Williams,Milwaukee Brewers,Washington Nationals,0,1.0,0,0,0,0,1,0
4,Josiah Gray,Washington Nationals,Milwaukee Brewers,1,3.2,4,5,5,3,3,0
5,Andrés Machado,Washington Nationals,Milwaukee Brewers,1,1.1,0,0,0,0,1,0
6,Amos Willingham,Washington Nationals,Milwaukee Brewers,1,2.0,2,1,1,0,2,0
7,Hobie Harris,Washington Nationals,Milwaukee Brewers,1,1.0,0,0,0,1,0,0
8,Joe La Sorsa,Washington Nationals,Milwaukee Brewers,1,1.0,0,0,0,0,0,0
0,Kyle Bradish,Baltimore Orioles,Toronto Blue Jays,0,7.0,4,3,3,1,7,2
1,Cionel Pérez,Baltimore Orioles,Toronto Blue Jays,0,0.2,1,0,0,0,2,0
2,Joey Krehbiel,Baltimore Orioles,Toronto Blue Jays,0,1.1,0,0,0,0,2,0
3,Hyun Jin Ryu,Toronto Blue Jays,Baltimore Orioles,1,5.0,9,4,4,1,3,1
4,Trevor Richards,Toronto Blue Jays,Baltimore Orioles,1,1.0,0,0,0,0,2,0
5,Génesis Cabrera,Toronto Blue Jays,Baltimore Orioles,1,1.0,3,3,3,1,0,0
6,Nate Pearson,Toronto Blue Jays,Baltimore Orioles,1,1.0,1,4,4,3,0,1
7,Jordan Hicks,Toronto Blue Jays,Baltimore Orioles,1,1.0,3,2,2,0,0,0
0,Patrick Sandoval,Los Angeles Angels,Atlanta Braves,0,5.0,3,2,2,4,3,1
1,Jacob Webb,Los Angeles Angels,Atlanta Braves,0,2.0,3,3,3,1,3,2
2,Victor Mederos,Los Angeles Angels,Atlanta Braves,0,1.0,1,0,0,0,1,0
3,Spencer Strider,Atlanta Braves,Los Angeles Angels,1,6.2,5,1,1,2,9,0
4,Joe Jiménez,Atlanta Braves,Los Angeles Angels,1,0.1,0,0,0,0,0,0
5,A.J. Minter,Atlanta Braves,Los Angeles Angels,1,1.0,1,0,0,0,1,0
6,Raisel Iglesias,Atlanta Braves,Los Angeles Angels,1,1.0,0,0,0,0,1,0
0,Pablo López,Minnesota Twins,St. Louis Cardinals,0,6.0,4,1,1,0,5,0
1,Emilio Pagán,Minnesota Twins,St. Louis Cardinals,0,1.0,0,0,0,1,1,0
2,Griffin Jax,Minnesota Twins,St. Louis Cardinals,0,1.0,2,0,0,0,0,0
3,Jhoan Duran,Minnesota Twins,St. Louis Cardinals,0,1.0,1,1,1,0,2,1
4,Miles Mikolas,St. Louis Cardinals,Minnesota Twins,1,7.0,6,3,2,1,7,0
5,John King,St. Louis Cardinals,Minnesota Twins,1,1.0,1,0,0,0,0,0
6,Drew VerHagen,St. Louis Cardinals,Minnesota Twins,1,1.0,0,0,0,0,1,0
0,Ben Lively,Cincinnati Reds,Chicago Cubs,0,4.0,13,13,13,2,2,4
1,Derek Law,Cincinnati Reds,Chicago Cubs,0,1.0,0,0,0,2,1,0
2,Sam Moll,Cincinnati Reds,Chicago Cubs,0,1.1,1,0,0,0,3,0
3,Fernando Cruz,Cincinnati Reds,Chicago Cubs,0,0.1,2,2,2,0,0,1
4,Luke Maile,Cincinnati Reds,Chicago Cubs,0,1.1,5,5,5,0,0,2
5,Justin Steele,Chicago Cubs,Cincinnati Reds,1,6.0,9,5,4,0,6,1
6,Hayden Wesneski,Chicago Cubs,Cincinnati Reds,1,2.0,0,0,0,1,1,0
7,Anthony Kay,Chicago Cubs,Cincinnati Reds,1,1.0,4,4,4,2,0,0
0,Jesse Scholtens,Chicago White Sox,Texas Rangers,0,6.0,3,1,1,1,6,1
1,Declan Cronin,Chicago White Sox,Texas Rangers,0,1.0,1,1,1,0,1,1
2,Bryan Shaw,Chicago White Sox,Texas Rangers,0,1.0,0,0,0,0,0,0
3,Andrew Heaney,Texas Rangers,Chicago White Sox,1,6.0,2,0,0,0,11,0
4,Josh Sborz,Texas Rangers,Chicago White Sox,1,1.0,0,0,0,0,1,0
5,Aroldis Chapman,Texas Rangers,Chicago White Sox,1,1.0,1,0,0,0,3,0
6,Will Smith,Texas Rangers,Chicago White Sox,1,1.0,0,0,0,0,1,0
0,Gavin Williams,Cleveland Guardians,Houston Astros,0,5.0,4,2,2,4,6,0
1,Xzavion Curry,Cleveland Guardians,Houston Astros,0,1.2,2,0,0,0,3,0
2,Sam Hentges,Cleveland Guardians,Houston Astros,0,0.1,0,0,0,0,0,0
3,Enyel De Los Santos,Cleveland Guardians,Houston Astros,0,1.0,0,0,0,0,1,0
4,Framber Valdez,Houston Astros,Cleveland Guardians,1,9.0,0,0,0,1,7,0
0,José Quintana,New York Mets,Kansas City Royals,0,6.2,6,3,3,2,2,0
1,Trevor Gott,New York Mets,Kansas City Royals,0,0.1,1,0,0,0,1,0
2,Adam Ottavino,New York Mets,Kansas City Royals,0,1.0,0,1,1,1,0,0
3,Drew Smith,New York Mets,Kansas City Royals,0,1.0,0,0,0,1,1,0
4,Brooks Raley,New York Mets,Kansas City Royals,0,0.1,2,3,1,0,0,0
5,Grant Hartwig,New York Mets,Kansas City Royals,0,0.1,0,0,0,1,1,0
6,Josh Walker,New York Mets,Kansas City Royals,0,0.0,0,0,0,0,0,0
7,Zack Greinke,Kansas City Royals,New York Mets,1,5.0,4,1,1,0,3,1
8,Alec Marsh,Kansas City Royals,New York Mets,1,1.0,0,0,0,1,1,0
9,Austin Cox,Kansas City Royals,New York Mets,1,1.1,1,1,1,1,1,0
10,Dylan Coleman,Kansas City Royals,New York Mets,1,0.1,2,2,2,1,0,0
11,Nick Wittgren,Kansas City Royals,New York Mets,1,1.1,0,0,0,0,0,0
12,Carlos Hernández,Kansas City Royals,New York Mets,1,1.0,1,2,1,1,2,1
0,Pedro Avila,San Diego Padres,Colorado Rockies,0,4.0,5,1,1,3,7,0
1,Brent Honeywell Jr.,San Diego Padres,Colorado Rockies,0,2.0,3,2,2,0,1,0
2,Steven Wilson,San Diego Padres,Colorado Rockies,0,1.0,2,1,1,0,1,1
3,Robert Suarez,San Diego Padres,Colorado Rockies,0,1.0,1,0,0,0,0,0
4,Tim Hill,San Diego Padres,Colorado Rockies,0,0.1,1,1,1,1,0,0
5,Josh Hader,San Diego Padres,Colorado Rockies,0,0.2,0,0,0,0,1,0
6,Peter Lambert,Colorado Rockies,San Diego Padres,1,4.1,4,4,4,2,2,0
7,Tommy Doyle,Colorado Rockies,San Diego Padres,1,2.2,1,1,1,0,2,1
8,Tyler Kinley,Colorado Rockies,San Diego Padres,1,1.0,1,1,1,0,1,1
9,Jake Bird,Colorado Rockies,San Diego Padres,1,1.0,3,2,2,1,1,0
0,Brayan Bello,Boston Red Sox,Seattle Mariners,0,6.0,8,4,4,2,7,1
1,Chris Martin,Boston Red Sox,Seattle Mariners,0,1.0,0,0,0,0,1,0
2,Josh Winckowski,Boston Red Sox,Seattle Mariners,0,1.0,1,0,0,1,2,0
3,Kenley Jansen,Boston Red Sox,Seattle Mariners,0,1.0,0,0,0,0,1,0
4,Bryce Miller,Seattle Mariners,Boston Red Sox,1,5.2,7,6,6,2,4,2
5,Trent Thornton,Seattle Mariners,Boston Red Sox,1,2.1,1,0,0,0,3,0
6,Devin Sweet,Seattle Mariners,Boston Red Sox,1,1.0,1,0,0,0,1,0
0,Zac Gallen,Arizona Diamondbacks,San Francisco Giants,0,6.0,7,3,3,1,6,1
1,Miguel Castro,Arizona Diamondbacks,San Francisco Giants,0,1.0,1,1,1,1,1,1
2,Austin Adams,Arizona Diamondbacks,San Francisco Giants,0,0.0,1,0,0,0,0,0
3,Luis Frías,Arizona Diamondbacks,San Francisco Giants,0,1.0,0,0,0,0,1,0
4,Alex Cobb,San Francisco Giants,Arizona Diamondbacks,1,6.0,4,3,3,1,4,3
5,Ryan Walker,San Francisco Giants,Arizona Diamondbacks,1,2.1,2,0,0,0,0,0
6,Sean Manaea,San Francisco Giants,Arizona Diamondbacks,1,0.2,0,0,0,0,0,0
0,Ken Waldichuk,Oakland Athletics,Los Angeles Dodgers,0,3.2,1,4,4,3,5,0
1,Tayler Scott,Oakland Athletics,Los Angeles Dodgers,0,0.1,1,0,0,0,0,0
2,Freddy Tarnok,Oakland Athletics,Los Angeles Dodgers,0,2.1,3,2,2,3,3,1
3,Sam Long,Oakland Athletics,Los Angeles Dodgers,0,0.2,0,0,0,2,0,0
4,Kirby Snead,Oakland Athletics,Los Angeles Dodgers,0,1.0,2,1,1,1,0,0
5,Lance Lynn,Los Angeles Dodgers,Oakland Athletics,1,7.0,5,3,3,1,7,3
6,Caleb Ferguson,Los Angeles Dodgers,Oakland Athletics,1,1.0,1,0,0,0,3,0
7,Brusdar Graterol,Los Angeles Dodgers,Oakland Athletics,1,1.0,0,0,0,2,0,0
