,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Josiah Gray,Washington Nationals,Pittsburgh Pirates,0,6.1,5,2,2,0,10,2
1,Jordan Weems,Washington Nationals,Pittsburgh Pirates,0,0.2,0,0,0,0,1,0
2,Jose Ferrer,Washington Nationals,Pittsburgh Pirates,0,1.0,0,0,0,0,2,0
3,Mitch Keller,Pittsburgh Pirates,Washington Nationals,1,8.0,2,0,0,1,7,0
4,David Bednar,Pittsburgh Pirates,Washington Nationals,1,1.0,0,0,0,0,0,0
0,Derek Law,Cincinnati Reds,Detroit Tigers,0,1.0,2,1,1,0,1,0
1,Sam Moll,Cincinnati Reds,Detroit Tigers,0,1.0,0,0,0,1,0,0
2,Ben Lively,Cincinnati Reds,Detroit Tigers,0,4.1,4,3,3,0,4,1
3,Buck Farmer,Cincinnati Reds,Detroit Tigers,0,1.2,3,4,4,1,2,1
4,Reese Olson,Detroit Tigers,Cincinnati Reds,1,6.0,2,1,1,4,7,1
5,Will Vest,Detroit Tigers,Cincinnati Reds,1,1.0,0,0,0,0,1,0
6,Tyler Holton,Detroit Tigers,Cincinnati Reds,1,0.1,2,0,0,0,1,0
7,Jason Foley,Detroit Tigers,Cincinnati Reds,1,0.2,0,0,0,0,0,0
8,José Cisnero,Detroit Tigers,Cincinnati Reds,1,1.0,1,1,1,0,1,1
0,Michael King,New York Yankees,Boston Red Sox,0,4.2,6,1,1,1,8,0
1,Greg Weissert,New York Yankees,Boston Red Sox,0,2.1,2,1,1,0,3,1
2,Matt Bowman,New York Yankees,Boston Red Sox,0,1.0,2,3,3,1,1,1
3,Tanner Houck,Boston Red Sox,New York Yankees,1,6.0,4,0,0,3,7,0
4,Garrett Whitlock,Boston Red Sox,New York Yankees,1,2.0,0,0,0,0,1,0
5,Chris Martin,Boston Red Sox,New York Yankees,1,1.0,2,0,0,0,0,0
0,Eury Pérez,Miami Marlins,Milwaukee Brewers,0,4.2,5,3,3,0,7,0
1,George Soriano,Miami Marlins,Milwaukee Brewers,0,1.1,0,0,0,1,2,0
2,Steven Okert,Miami Marlins,Milwaukee Brewers,0,0.2,2,1,1,0,0,0
3,JT Chargois,Miami Marlins,Milwaukee Brewers,0,0.1,0,0,0,0,0,0
4,Bryan Hoeing,Miami Marlins,Milwaukee Brewers,0,1.0,0,0,0,1,1,0
5,Adrian Houser,Milwaukee Brewers,Miami Marlins,1,5.0,5,2,2,0,5,0
6,Elvis Peguero,Milwaukee Brewers,Miami Marlins,1,1.0,0,0,0,0,2,0
7,Abner Uribe,Milwaukee Brewers,Miami Marlins,1,1.0,0,0,0,1,0,0
8,Joel Payamps,Milwaukee Brewers,Miami Marlins,1,1.0,1,0,0,0,1,0
9,Devin Williams,Milwaukee Brewers,Miami Marlins,1,1.0,0,0,0,0,0,0
0,Merrill Kelly,Arizona Diamondbacks,New York Mets,0,5.0,6,7,7,4,7,1
1,Joe Mantiply,Arizona Diamondbacks,New York Mets,0,1.2,0,1,0,2,0,0
2,Scott McGough,Arizona Diamondbacks,New York Mets,0,0.2,4,3,3,0,1,1
3,Seby Zavala,Arizona Diamondbacks,New York Mets,0,0.2,0,0,0,0,0,0
4,Kodai Senga,New York Mets,Arizona Diamondbacks,1,6.0,2,0,0,2,10,0
5,Phil Bickford,New York Mets,Arizona Diamondbacks,1,1.0,0,0,0,0,1,0
6,Jeff Brigham,New York Mets,Arizona Diamondbacks,1,2.0,2,1,1,0,2,0
0,Nathan Eovaldi,Texas Rangers,Toronto Blue Jays,0,3.1,3,2,2,3,3,1
