,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Ryan Pepiot,Los Angeles Dodgers,Miami Marlins,0,7.0,1,0,0,0,3,0
1,Caleb Ferguson,Los Angeles Dodgers,Miami Marlins,0,1.0,1,0,0,0,2,0
2,Evan Phillips,Los Angeles Dodgers,Miami Marlins,0,1.0,0,0,0,0,1,0
3,Braxton Garrett,Miami Marlins,Los Angeles Dodgers,1,3.2,3,1,1,3,4,0
4,JT Chargois,Miami Marlins,Los Angeles Dodgers,1,0.1,0,0,0,0,1,0
5,George Soriano,Miami Marlins,Los Angeles Dodgers,1,1.1,6,5,5,2,0,0
6,Devin Smeltzer,Miami Marlins,Los Angeles Dodgers,1,3.2,7,4,4,0,1,1
0,Luis Castillo,Seattle Mariners,Tampa Bay Rays,0,6.0,4,0,0,4,8,0
1,Isaiah Campbell,Seattle Mariners,Tampa Bay Rays,0,1.0,0,0,0,0,3,0
2,Matt Brash,Seattle Mariners,Tampa Bay Rays,0,1.0,0,0,0,0,1,0
3,Andrés Muñoz,Seattle Mariners,Tampa Bay Rays,0,1.0,0,0,0,1,2,0
4,Zack Littell,Tampa Bay Rays,Seattle Mariners,1,8.0,5,1,1,1,4,0
5,Andrew Kittredge,Tampa Bay Rays,Seattle Mariners,1,1.0,0,0,0,0,2,0
0,Eduardo Rodriguez,Detroit Tigers,New York Yankees,0,6.0,4,3,3,4,4,1
1,Will Vest,Detroit Tigers,New York Yankees,0,1.0,0,0,0,0,2,0
2,Miguel Díaz,Detroit Tigers,New York Yankees,0,1.0,1,0,0,1,1,0
3,Trey Wingenter,Detroit Tigers,New York Yankees,0,1.0,1,0,0,1,2,0
4,Carlos Rodón,New York Yankees,Detroit Tigers,1,3.2,8,7,7,0,4,1
5,Randy Vásquez,New York Yankees,Detroit Tigers,1,2.1,3,1,1,2,5,1
6,Albert Abreu,New York Yankees,Detroit Tigers,1,2.0,3,2,2,0,3,1
7,Matt Krook,New York Yankees,Detroit Tigers,1,1.0,0,0,0,0,2,0
0,Adam Wainwright,St. Louis Cardinals,Atlanta Braves,0,5.2,8,6,6,3,4,4
1,Jacob Barnes,St. Louis Cardinals,Atlanta Braves,0,1.0,2,2,2,0,1,1
2,Matthew Liberatore,St. Louis Cardinals,Atlanta Braves,0,1.1,0,0,0,0,1,0
3,Max Fried,Atlanta Braves,St. Louis Cardinals,1,6.0,6,3,3,2,4,0
4,Pierce Johnson,Atlanta Braves,St. Louis Cardinals,1,1.0,0,0,0,0,2,0
5,A.J. Minter,Atlanta Braves,St. Louis Cardinals,1,1.0,0,0,0,0,2,0
6,Raisel Iglesias,Atlanta Braves,St. Louis Cardinals,1,1.0,2,2,2,2,0,0
0,Ryne Nelson,Arizona Diamondbacks,Chicago Cubs,0,5.2,2,1,1,2,3,0
1,Andrew Saalfrank,Arizona Diamondbacks,Chicago Cubs,0,0.1,0,0,0,0,1,0
2,Ryan Thompson,Arizona Diamondbacks,Chicago Cubs,0,1.0,0,0,0,0,1,0
3,Kevin Ginkel,Arizona Diamondbacks,Chicago Cubs,0,1.0,0,0,0,0,1,0
4,Joe Mantiply,Arizona Diamondbacks,Chicago Cubs,0,0.2,3,1,1,0,1,0
5,Paul Sewald,Arizona Diamondbacks,Chicago Cubs,0,0.1,0,0,0,0,0,0
6,Javier Assad,Chicago Cubs,Arizona Diamondbacks,1,5.1,7,3,3,1,0,2
7,Keegan Thompson,Chicago Cubs,Arizona Diamondbacks,1,2.1,1,2,2,3,2,1
8,Hayden Wesneski,Chicago Cubs,Arizona Diamondbacks,1,1.1,2,1,1,0,1,0
0,Cal Quantrill,Cleveland Guardians,Los Angeles Angels,0,6.0,3,0,0,2,6,0
1,Matt Moore,Cleveland Guardians,Los Angeles Angels,0,0.2,2,1,1,1,0,0
2,Enyel De Los Santos,Cleveland Guardians,Los Angeles Angels,0,0.1,0,0,0,0,0,0
3,Trevor Stephan,Cleveland Guardians,Los Angeles Angels,0,1.0,0,0,0,0,2,0
4,Emmanuel Clase,Cleveland Guardians,Los Angeles Angels,0,0.2,4,2,2,1,0,0
5,Jhonathan Diaz,Los Angeles Angels,Cleveland Guardians,1,1.2,2,0,0,1,0,0
6,Andrew Wantz,Los Angeles Angels,Cleveland Guardians,1,1.1,1,0,0,1,1,0
7,Davis Daniel,Los Angeles Angels,Cleveland Guardians,1,3.0,2,0,0,3,1,0
8,Aaron Loup,Los Angeles Angels,Cleveland Guardians,1,1.0,3,2,2,0,0,0
9,José Marte,Los Angeles Angels,Cleveland Guardians,1,1.0,0,0,0,0,0,0
10,José Soriano,Los Angeles Angels,Cleveland Guardians,1,1.0,1,0,0,1,0,0
