,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Freddy Peralta,Milwaukee Brewers,Toronto Blue Jays,0,6.0,6,3,3,2,3,2
1,1,Trevor Megill,Milwaukee Brewers,Toronto Blue Jays,0,1.0,1,0,0,0,1,0
2,2,Elvis Peguero,Milwaukee Brewers,Toronto Blue Jays,0,1.0,2,0,0,2,1,0
3,3,Kevin Gausman,Toronto Blue Jays,Milwaukee Brewers,1,6.2,5,0,0,2,11,0
4,4,Erik Swanson,Toronto Blue Jays,Milwaukee Brewers,1,1.1,0,0,0,0,0,0
5,5,Jordan Romano,Toronto Blue Jays,Milwaukee Brewers,1,1.0,1,1,1,1,1,0
6,0,Joe Musgrove,San Diego Padres,Miami Marlins,0,6.0,3,1,0,3,3,0
7,1,Drew Carlton,San Diego Padres,Miami Marlins,0,2.0,1,0,0,0,1,0
8,2,Tom Cosgrove,San Diego Padres,Miami Marlins,0,1.0,0,0,0,0,1,0
9,3,Jesús Luzardo,Miami Marlins,San Diego Padres,1,5.1,4,5,5,1,8,1
10,4,Matt Barnes,Miami Marlins,San Diego Padres,1,0.1,4,5,5,1,0,0
11,5,Bryan Hoeing,Miami Marlins,San Diego Padres,1,2.1,2,0,0,0,3,0
12,6,Jacob Stallings,Miami Marlins,San Diego Padres,1,1.0,1,0,0,0,0,0
13,0,Taijuan Walker,Philadelphia Phillies,New York Mets,0,4.0,2,3,3,3,2,1
14,1,Matt Strahm,Philadelphia Phillies,New York Mets,0,2.0,2,1,1,1,1,0
15,2,Gregory Soto,Philadelphia Phillies,New York Mets,0,1.0,0,0,0,0,0,0
16,3,Craig Kimbrel,Philadelphia Phillies,New York Mets,0,1.0,0,0,0,0,0,0
17,4,Max Scherzer,New York Mets,Philadelphia Phillies,1,7.0,5,2,1,1,9,0
18,5,Jeff Brigham,New York Mets,Philadelphia Phillies,1,1.0,0,0,0,0,1,0
19,6,Brooks Raley,New York Mets,Philadelphia Phillies,1,0.2,1,0,0,0,2,0
20,7,Drew Smith,New York Mets,Philadelphia Phillies,1,0.1,0,0,0,0,0,0
21,0,Connor Seabold,Colorado Rockies,Arizona Diamondbacks,0,5.1,3,1,1,2,5,0
22,1,Jake Bird,Colorado Rockies,Arizona Diamondbacks,0,0.2,2,1,1,1,2,0
23,2,Brad Hand,Colorado Rockies,Arizona Diamondbacks,0,0.2,2,1,1,0,0,0
24,3,Justin Lawrence,Colorado Rockies,Arizona Diamondbacks,0,1.1,0,0,0,0,1,0
25,4,Pierce Johnson,Colorado Rockies,Arizona Diamondbacks,0,0.2,2,2,2,1,1,0
26,5,Zach Davies,Arizona Diamondbacks,Colorado Rockies,1,5.2,7,3,3,1,4,0
27,6,Kyle Nelson,Arizona Diamondbacks,Colorado Rockies,1,1.1,2,1,1,0,3,1
28,7,José Ruiz,Arizona Diamondbacks,Colorado Rockies,1,1.0,1,0,0,0,1,0
29,8,Kevin Ginkel,Arizona Diamondbacks,Colorado Rockies,1,1.0,0,0,0,0,1,0
30,0,Hunter Greene,Cincinnati Reds,Boston Red Sox,0,6.0,2,1,1,3,8,0
31,1,Ian Gibaut,Cincinnati Reds,Boston Red Sox,0,1.0,1,1,1,0,0,1
32,2,Kevin Herget,Cincinnati Reds,Boston Red Sox,0,1.0,5,6,6,2,0,1
33,3,Chris Sale,Boston Red Sox,Cincinnati Reds,1,3.2,5,1,1,1,6,0
34,4,Justin Garza,Boston Red Sox,Cincinnati Reds,1,1.1,0,0,0,0,1,0
35,5,Josh Winckowski,Boston Red Sox,Cincinnati Reds,1,1.0,0,0,0,1,1,0
36,6,Nick Pivetta,Boston Red Sox,Cincinnati Reds,1,1.0,0,0,0,0,3,0
37,7,Chris Martin,Boston Red Sox,Cincinnati Reds,1,1.0,2,1,1,0,0,0
38,8,Kenley Jansen,Boston Red Sox,Cincinnati Reds,1,1.0,0,0,0,1,0,0
39,0,Tanner Bibee,Cleveland Guardians,Minnesota Twins,0,5.0,6,3,3,1,6,1
40,1,Nick Sandlin,Cleveland Guardians,Minnesota Twins,0,1.0,0,0,0,0,1,0
41,2,James Karinchak,Cleveland Guardians,Minnesota Twins,0,1.0,0,0,0,0,0,0
42,3,Trevor Stephan,Cleveland Guardians,Minnesota Twins,0,1.0,3,3,3,0,1,1
43,4,Eli Morgan,Cleveland Guardians,Minnesota Twins,0,0.1,1,1,1,2,0,0
44,5,Pablo López,Minnesota Twins,Cleveland Guardians,1,5.2,8,6,6,1,5,0
45,6,Emilio Pagán,Minnesota Twins,Cleveland Guardians,1,2.1,1,0,0,0,0,0
46,7,Griffin Jax,Minnesota Twins,Cleveland Guardians,1,1.0,0,0,0,0,1,0
47,0,Reid Detmers,Los Angeles Angels,Houston Astros,0,5.0,6,4,4,2,2,0
48,1,Jacob Webb,Los Angeles Angels,Houston Astros,0,1.0,0,0,0,0,1,0
49,2,Ben Joyce,Los Angeles Angels,Houston Astros,0,1.0,1,0,0,0,2,0
50,3,Aaron Loup,Los Angeles Angels,Houston Astros,0,1.0,2,1,1,0,1,0
51,4,Ronel Blanco,Houston Astros,Los Angeles Angels,1,5.1,7,2,2,3,5,1
52,5,Hector Neris,Houston Astros,Los Angeles Angels,1,0.2,1,0,0,0,1,0
53,6,Bryan Abreu,Houston Astros,Los Angeles Angels,1,1.0,1,0,0,1,0,0
54,7,Rafael Montero,Houston Astros,Los Angeles Angels,1,1.0,1,0,0,0,2,0
55,8,Ryan Pressly,Houston Astros,Los Angeles Angels,1,1.0,1,0,0,0,1,0
