,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Sonny Gray,Minnesota Twins,Baltimore Orioles,0,6.0,2,0,0,3,7,0
1,Griffin Jax,Minnesota Twins,Baltimore Orioles,0,1.0,0,0,0,0,1,0
2,Jhoan Duran,Minnesota Twins,Baltimore Orioles,0,0.2,3,2,2,1,1,0
3,Emilio Pagán,Minnesota Twins,Baltimore Orioles,0,0.1,0,0,0,0,1,0
4,Cole Irvin,Baltimore Orioles,Minnesota Twins,1,5.0,6,1,1,3,1,0
5,Bryan Baker,Baltimore Orioles,Minnesota Twins,1,2.0,0,0,0,0,1,0
6,Cionel Pérez,Baltimore Orioles,Minnesota Twins,1,1.0,0,0,0,0,1,0
7,Félix Bautista,Baltimore Orioles,Minnesota Twins,1,1.0,0,0,0,0,3,0
0,Sandy Alcantara,Miami Marlins,Atlanta Braves,0,5.0,5,4,4,2,6,2
1,JT Chargois,Miami Marlins,Atlanta Braves,0,1.0,0,0,0,0,1,0
2,Dylan Floro,Miami Marlins,Atlanta Braves,0,1.0,1,0,0,0,1,0
3,Andrew Nardi,Miami Marlins,Atlanta Braves,0,1.0,3,2,2,0,2,1
4,Spencer Strider,Atlanta Braves,Miami Marlins,1,6.2,6,3,2,1,9,0
5,A.J. Minter,Atlanta Braves,Miami Marlins,1,0.2,2,0,0,0,1,0
6,Ben Heller,Atlanta Braves,Miami Marlins,1,0.2,0,0,0,0,1,0
7,Raisel Iglesias,Atlanta Braves,Miami Marlins,1,1.0,0,0,0,0,1,0
0,Trevor Williams,Washington Nationals,Philadelphia Phillies,0,5.0,6,3,3,2,1,2
1,Jose Ferrer,Washington Nationals,Philadelphia Phillies,0,1.0,1,0,0,1,1,0
2,Mason Thompson,Washington Nationals,Philadelphia Phillies,0,0.1,2,1,1,0,1,0
3,Kyle Finnegan,Washington Nationals,Philadelphia Phillies,0,1.2,1,0,0,2,0,0
4,Hunter Harvey,Washington Nationals,Philadelphia Phillies,0,1.0,0,0,0,0,0,0
5,Ranger Suárez,Philadelphia Phillies,Washington Nationals,1,5.1,7,5,5,3,5,2
6,Yunior Marte,Philadelphia Phillies,Washington Nationals,1,1.2,0,0,0,0,0,0
7,José Alvarado,Philadelphia Phillies,Washington Nationals,1,1.0,1,0,0,0,0,0
8,Craig Kimbrel,Philadelphia Phillies,Washington Nationals,1,1.0,0,0,0,0,1,0
0,Colin Rea,Milwaukee Brewers,Pittsburgh Pirates,0,6.2,5,2,2,1,3,1
1,Hoby Milner,Milwaukee Brewers,Pittsburgh Pirates,0,0.1,0,0,0,0,0,0
2,Elvis Peguero,Milwaukee Brewers,Pittsburgh Pirates,0,1.0,2,1,1,0,0,0
3,Devin Williams,Milwaukee Brewers,Pittsburgh Pirates,0,1.0,0,0,0,0,1,0
4,Rich Hill,Pittsburgh Pirates,Milwaukee Brewers,1,5.0,3,3,3,2,8,1
5,Angel Perdomo,Pittsburgh Pirates,Milwaukee Brewers,1,1.2,1,0,0,0,2,0
6,Carmen Mlodzinski,Pittsburgh Pirates,Milwaukee Brewers,1,1.0,1,2,0,1,0,0
7,Ryan Borucki,Pittsburgh Pirates,Milwaukee Brewers,1,0.2,2,1,1,0,0,0
8,Dauri Moreta,Pittsburgh Pirates,Milwaukee Brewers,1,0.2,1,0,0,0,1,0
0,Garrett Whitlock,Boston Red Sox,Toronto Blue Jays,0,1.0,1,1,1,0,1,1
1,Brennan Bernardino,Boston Red Sox,Toronto Blue Jays,0,1.1,1,1,1,0,1,0
2,Kaleb Ort,Boston Red Sox,Toronto Blue Jays,0,0.2,2,1,1,0,1,0
3,Nick Pivetta,Boston Red Sox,Toronto Blue Jays,0,4.0,2,1,1,2,6,1
4,Chris Martin,Boston Red Sox,Toronto Blue Jays,0,1.0,0,0,0,0,0,0
5,Joe Jacques,Boston Red Sox,Toronto Blue Jays,0,1.0,0,0,0,0,0,0
6,Kevin Gausman,Toronto Blue Jays,Boston Red Sox,1,5.0,5,2,2,1,7,0
7,Tim Mayza,Toronto Blue Jays,Boston Red Sox,1,0.1,2,0,0,0,1,0
8,Yimi García,Toronto Blue Jays,Boston Red Sox,1,0.2,0,0,0,1,2,0
9,Erik Swanson,Toronto Blue Jays,Boston Red Sox,1,1.0,3,2,2,1,1,0
10,Trevor Richards,Toronto Blue Jays,Boston Red Sox,1,1.0,1,0,0,0,3,0
11,Jordan Romano,Toronto Blue Jays,Boston Red Sox,1,1.0,1,1,1,1,1,1
0,Adrián Morejón,San Diego Padres,Cincinnati Reds,0,3.0,2,0,0,2,1,0
1,Tim Hill,San Diego Padres,Cincinnati Reds,0,1.0,1,2,2,1,0,1
2,Pedro Avila,San Diego Padres,Cincinnati Reds,0,3.0,1,0,0,1,4,0
3,Tom Cosgrove,San Diego Padres,Cincinnati Reds,0,0.2,0,1,1,1,1,0
4,Nick Martinez,San Diego Padres,Cincinnati Reds,0,0.1,1,1,1,0,0,1
5,Andrew Abbott,Cincinnati Reds,San Diego Padres,1,7.2,4,1,1,1,12,1
6,Lucas Sims,Cincinnati Reds,San Diego Padres,1,0.1,1,1,1,0,0,1
7,Alexis Díaz,Cincinnati Reds,San Diego Padres,1,1.0,2,1,1,0,1,0
0,Tony Gonsolin,Los Angeles Dodgers,Kansas City Royals,0,3.2,6,4,4,3,3,0
1,Victor González,Los Angeles Dodgers,Kansas City Royals,0,1.1,4,3,3,1,1,0
2,Yency Almonte,Los Angeles Dodgers,Kansas City Royals,0,1.0,2,2,0,1,1,0
3,Evan Phillips,Los Angeles Dodgers,Kansas City Royals,0,1.0,2,0,0,0,2,0
4,Yonny Hernández,Los Angeles Dodgers,Kansas City Royals,0,1.0,1,0,0,0,0,0
5,Brady Singer,Kansas City Royals,Los Angeles Dodgers,1,7.0,4,1,1,3,4,0
6,Amir Garrett,Kansas City Royals,Los Angeles Dodgers,1,1.0,0,0,0,0,2,0
7,Collin Snider,Kansas City Royals,Los Angeles Dodgers,1,1.0,2,0,0,0,1,0
0,Gerrit Cole,New York Yankees,St. Louis Cardinals,0,6.0,6,2,2,2,5,0
1,Jimmy Cordero,New York Yankees,St. Louis Cardinals,0,2.0,5,3,3,0,2,1
2,Jordan Montgomery,St. Louis Cardinals,New York Yankees,1,6.2,2,1,0,3,6,0
3,Giovanny Gallegos,St. Louis Cardinals,New York Yankees,1,1.1,0,0,0,1,3,0
4,Jordan Hicks,St. Louis Cardinals,New York Yankees,1,1.0,1,0,0,1,0,0
0,Shawn Dubin,Houston Astros,Texas Rangers,0,4.0,3,1,1,2,3,0
1,Parker Mushinski,Houston Astros,Texas Rangers,0,1.0,1,0,0,0,2,0
2,Phil Maton,Houston Astros,Texas Rangers,0,1.0,0,0,0,0,1,0
3,Hector Neris,Houston Astros,Texas Rangers,0,1.0,1,0,0,0,2,0
4,Bryan Abreu,Houston Astros,Texas Rangers,0,1.0,2,2,2,0,2,1
5,Ryan Pressly,Houston Astros,Texas Rangers,0,1.0,0,0,0,0,1,0
6,Andrew Heaney,Texas Rangers,Houston Astros,1,5.0,3,0,0,1,8,0
7,Grant Anderson,Texas Rangers,Houston Astros,1,1.0,3,1,1,0,1,0
8,Aroldis Chapman,Texas Rangers,Houston Astros,1,1.0,1,0,0,0,2,0
