,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Drew Smyly,Chicago Cubs,New York Yankees,0,4.0,6,4,4,4,3,2
1,Michael Rucker,Chicago Cubs,New York Yankees,0,1.0,2,2,2,0,1,1
2,Javier Assad,Chicago Cubs,New York Yankees,0,3.0,0,0,0,1,2,0
3,Gerrit Cole,New York Yankees,Chicago Cubs,1,7.1,5,3,3,1,5,1
4,Michael King,New York Yankees,Chicago Cubs,1,1.2,0,0,0,0,1,0
0,Kevin Gausman,Toronto Blue Jays,Detroit Tigers,0,6.0,5,2,2,2,7,0
1,Nate Pearson,Toronto Blue Jays,Detroit Tigers,0,1.2,0,0,0,1,2,0
2,Yimi García,Toronto Blue Jays,Detroit Tigers,0,0.1,0,0,0,0,1,0
3,Matt Manning,Detroit Tigers,Toronto Blue Jays,1,6.2,0,0,0,3,5,0
4,Jason Foley,Detroit Tigers,Toronto Blue Jays,1,1.1,0,0,0,0,1,0
5,Alex Lange,Detroit Tigers,Toronto Blue Jays,1,1.0,0,0,0,0,1,0
0,Miles Mikolas,St. Louis Cardinals,Chicago White Sox,0,7.0,4,0,0,0,6,0
1,Giovanny Gallegos,St. Louis Cardinals,Chicago White Sox,0,1.0,1,0,0,0,2,0
2,Jordan Hicks,St. Louis Cardinals,Chicago White Sox,0,1.0,2,0,0,0,1,0
3,Touki Toussaint,Chicago White Sox,St. Louis Cardinals,1,5.0,5,2,2,1,5,0
4,Aaron Bummer,Chicago White Sox,St. Louis Cardinals,1,1.0,1,0,0,0,3,0
5,Reynaldo López,Chicago White Sox,St. Louis Cardinals,1,1.0,1,0,0,1,2,0
6,Tanner Banks,Chicago White Sox,St. Louis Cardinals,1,2.0,1,1,1,1,4,1
0,Tyler Wells,Baltimore Orioles,Minnesota Twins,0,6.0,6,2,2,2,4,0
1,Bryan Baker,Baltimore Orioles,Minnesota Twins,0,2.0,2,0,0,1,3,0
2,Danny Coulombe,Baltimore Orioles,Minnesota Twins,0,1.0,1,0,0,0,0,0
3,Sonny Gray,Minnesota Twins,Baltimore Orioles,1,6.0,6,6,6,3,5,0
4,Oliver Ortega,Minnesota Twins,Baltimore Orioles,1,2.0,0,0,0,1,1,0
5,Jorge López,Minnesota Twins,Baltimore Orioles,1,1.0,0,0,0,0,0,0
0,Connor Seabold,Colorado Rockies,San Francisco Giants,0,3.2,7,3,3,1,3,1
1,Brad Hand,Colorado Rockies,San Francisco Giants,0,1.1,2,2,2,0,1,1
2,Fernando Abad,Colorado Rockies,San Francisco Giants,0,1.1,1,0,0,0,1,0
3,Matt Koch,Colorado Rockies,San Francisco Giants,0,0.2,1,0,0,0,0,0
4,Gavin Hollowell,Colorado Rockies,San Francisco Giants,0,1.0,0,0,0,0,2,0
5,Ryan Walker,San Francisco Giants,Colorado Rockies,1,2.0,3,2,2,1,4,1
6,Alex Wood,San Francisco Giants,Colorado Rockies,1,5.0,3,0,0,1,3,0
7,Tyler Rogers,San Francisco Giants,Colorado Rockies,1,1.0,3,1,1,0,0,0
8,Camilo Doval,San Francisco Giants,Colorado Rockies,1,1.0,0,0,0,0,2,0
0,Andrew Heaney,Texas Rangers,Washington Nationals,0,3.0,8,8,7,1,4,3
1,Grant Anderson,Texas Rangers,Washington Nationals,0,4.0,3,0,0,0,3,0
2,Brock Burke,Texas Rangers,Washington Nationals,0,1.0,1,0,0,0,0,0
3,Jake Irvin,Washington Nationals,Texas Rangers,1,5.0,5,2,2,2,1,1
4,Jordan Weems,Washington Nationals,Texas Rangers,1,2.0,3,1,1,0,1,1
5,Kyle Finnegan,Washington Nationals,Texas Rangers,1,1.0,0,0,0,0,2,0
6,Amos Willingham,Washington Nationals,Texas Rangers,1,1.0,0,0,0,0,0,0
0,Mitch Keller,Pittsburgh Pirates,Arizona Diamondbacks,0,7.0,1,0,0,5,4,0
1,Colin Holderman,Pittsburgh Pirates,Arizona Diamondbacks,0,1.0,2,1,1,0,1,1
2,David Bednar,Pittsburgh Pirates,Arizona Diamondbacks,0,1.1,2,2,0,1,1,0
3,Kyle Nelson,Arizona Diamondbacks,Pittsburgh Pirates,1,1.1,0,0,0,0,3,0
4,Kevin Ginkel,Arizona Diamondbacks,Pittsburgh Pirates,1,1.1,0,0,0,1,1,0
