,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Joey Wentz,Detroit Tigers,Cleveland Guardians,0,5.2,3,2,2,3,5,1
1,1,Will Vest,Detroit Tigers,Cleveland Guardians,0,0.2,2,0,0,0,1,0
2,2,Jason Foley,Detroit Tigers,Cleveland Guardians,0,0.2,0,0,0,0,0,0
3,3,Chasen Shreve,Detroit Tigers,Cleveland Guardians,0,1.2,2,0,0,0,2,0
4,4,Alex Lange,Detroit Tigers,Cleveland Guardians,0,0.1,0,0,0,1,0,0
5,5,Tanner Bibee,Cleveland Guardians,Detroit Tigers,1,3.2,7,4,4,4,2,0
6,6,Nick Sandlin,Cleveland Guardians,Detroit Tigers,1,1.1,1,0,0,0,2,0
7,7,Eli Morgan,Cleveland Guardians,Detroit Tigers,1,1.0,1,1,1,1,2,1
8,8,Enyel De Los Santos,Cleveland Guardians,Detroit Tigers,1,1.0,0,0,0,1,0,0
9,9,Xzavion Curry,Cleveland Guardians,Detroit Tigers,1,2.0,4,1,1,0,1,0
10,0,Shane McClanahan,Tampa Bay Rays,Baltimore Orioles,0,6.0,4,0,0,4,7,0
11,1,Colin Poche,Tampa Bay Rays,Baltimore Orioles,0,1.0,2,0,0,0,1,0
12,2,Kevin Kelly,Tampa Bay Rays,Baltimore Orioles,0,1.0,0,0,0,0,2,0
13,3,Jason Adam,Tampa Bay Rays,Baltimore Orioles,0,1.0,1,0,0,0,3,0
14,4,Kyle Gibson,Baltimore Orioles,Tampa Bay Rays,1,6.0,6,2,2,2,4,1
15,5,Bryan Baker,Baltimore Orioles,Tampa Bay Rays,1,1.0,0,0,0,2,0,0
16,6,Keegan Akin,Baltimore Orioles,Tampa Bay Rays,1,2.0,1,1,1,0,3,1
17,0,Kyle Freeland,Colorado Rockies,Pittsburgh Pirates,0,7.0,7,2,2,3,4,1
18,1,Daniel Bard,Colorado Rockies,Pittsburgh Pirates,0,1.0,0,0,0,1,1,0
19,2,Mitch Keller,Pittsburgh Pirates,Colorado Rockies,1,9.0,4,0,0,1,8,0
20,0,JP Sears,Oakland Athletics,New York Yankees,0,5.1,6,5,5,0,4,3
21,1,Austin Pruitt,Oakland Athletics,New York Yankees,0,1.2,3,2,2,1,2,1
