,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Chase Silseth,Los Angeles Angels,Baltimore Orioles,0,3.1,6,4,4,1,5,1
1,1,Tucker Davidson,Los Angeles Angels,Baltimore Orioles,0,1.2,2,2,2,0,4,0
2,2,Andrew Wantz,Los Angeles Angels,Baltimore Orioles,0,2.0,1,1,1,0,2,1
3,3,Jimmy Herget,Los Angeles Angels,Baltimore Orioles,0,1.0,0,0,0,0,1,0
4,4,Dean Kremer,Baltimore Orioles,Los Angeles Angels,1,5.2,6,3,3,0,4,1
5,5,Bryan Baker,Baltimore Orioles,Los Angeles Angels,1,0.1,2,0,0,0,1,0
6,6,Cionel Pérez,Baltimore Orioles,Los Angeles Angels,1,2.0,0,0,0,0,2,0
7,7,Yennier Cano,Baltimore Orioles,Los Angeles Angels,1,1.0,0,0,0,0,1,0
8,0,Luis Ortiz,Pittsburgh Pirates,Detroit Tigers,0,3.0,7,4,3,4,3,0
9,1,Yohan Ramirez,Pittsburgh Pirates,Detroit Tigers,0,2.1,2,0,0,0,4,0
10,2,Duane Underwood Jr.,Pittsburgh Pirates,Detroit Tigers,0,2.2,1,0,0,1,0,0
11,3,Michael Lorenzen,Detroit Tigers,Pittsburgh Pirates,1,6.0,5,0,0,2,7,0
12,4,Will Vest,Detroit Tigers,Pittsburgh Pirates,1,2.0,0,0,0,0,3,0
13,5,José Cisnero,Detroit Tigers,Pittsburgh Pirates,1,1.0,0,0,0,0,2,0
14,0,Josiah Gray,Washington Nationals,Miami Marlins,0,7.0,7,2,1,3,5,0
15,1,Kyle Finnegan,Washington Nationals,Miami Marlins,0,1.0,2,0,0,0,1,0
16,2,Hunter Harvey,Washington Nationals,Miami Marlins,0,0.2,3,3,3,0,1,1
17,3,Jesús Luzardo,Miami Marlins,Washington Nationals,1,6.0,5,1,1,1,7,1
18,4,Tanner Scott,Miami Marlins,Washington Nationals,1,1.0,0,0,0,1,2,0
19,5,Huascar Brazoban,Miami Marlins,Washington Nationals,1,0.1,2,3,3,1,1,0
20,6,Steven Okert,Miami Marlins,Washington Nationals,1,0.2,1,0,0,1,1,0
21,7,Andrew Nardi,Miami Marlins,Washington Nationals,1,1.0,0,0,0,0,1,0
22,0,Domingo Germán,New York Yankees,Toronto Blue Jays,0,3.0,0,0,0,0,2,0
23,1,Ian Hamilton,New York Yankees,Toronto Blue Jays,0,0.2,1,0,0,2,2,0
24,2,Ron Marinaccio,New York Yankees,Toronto Blue Jays,0,1.0,4,3,3,0,1,1
25,3,Ryan Weber,New York Yankees,Toronto Blue Jays,0,2.1,3,0,0,0,0,0
26,4,Clay Holmes,New York Yankees,Toronto Blue Jays,0,1.0,1,0,0,0,1,0
27,5,Wandy Peralta,New York Yankees,Toronto Blue Jays,0,1.0,0,0,0,1,0,0
28,6,Kevin Gausman,Toronto Blue Jays,New York Yankees,1,7.0,5,3,2,2,10,1
29,7,Erik Swanson,Toronto Blue Jays,New York Yankees,1,1.0,3,2,2,2,0,1
30,8,Anthony Bass,Toronto Blue Jays,New York Yankees,1,1.0,1,1,1,0,1,0
31,0,Luis Castillo,Seattle Mariners,Boston Red Sox,0,5.0,6,7,5,2,6,3
32,1,Tayler Saucedo,Seattle Mariners,Boston Red Sox,0,1.0,0,0,0,0,0,0
33,2,Paul Sewald,Seattle Mariners,Boston Red Sox,0,0.2,2,1,1,1,0,0
34,3,Juan Then,Seattle Mariners,Boston Red Sox,0,1.1,3,1,1,0,1,0
35,4,Nick Pivetta,Boston Red Sox,Seattle Mariners,1,5.1,6,4,4,4,6,1
36,5,Ryan Sherriff,Boston Red Sox,Seattle Mariners,1,1.0,0,0,0,0,1,0
37,6,Josh Winckowski,Boston Red Sox,Seattle Mariners,1,1.2,2,0,0,0,1,0
38,7,Justin Garza,Boston Red Sox,Seattle Mariners,1,1.0,0,0,0,0,0,0
39,0,Jalen Beeks,Tampa Bay Rays,New York Mets,0,2.0,1,0,0,0,2,0
40,1,Yonny Chirinos,Tampa Bay Rays,New York Mets,0,4.2,3,3,3,1,2,2
41,2,Ryan Thompson,Tampa Bay Rays,New York Mets,0,0.1,0,0,0,0,0,0
42,3,Zack Littell,Tampa Bay Rays,New York Mets,0,1.0,0,0,0,0,3,0
43,4,Jake Diekman,Tampa Bay Rays,New York Mets,0,1.0,2,2,2,0,0,1
44,5,Justin Verlander,New York Mets,Tampa Bay Rays,1,5.0,8,6,6,2,3,2
45,6,Dominic Leone,New York Mets,Tampa Bay Rays,1,1.0,1,1,1,0,1,1
46,7,Josh Walker,New York Mets,Tampa Bay Rays,1,1.0,0,0,0,2,0,0
47,8,Drew Smith,New York Mets,Tampa Bay Rays,1,1.0,1,1,1,1,1,0
48,9,Adam Ottavino,New York Mets,Tampa Bay Rays,1,1.0,0,0,0,0,1,0
49,0,Wade Miley,Milwaukee Brewers,St. Louis Cardinals,0,1.2,1,1,1,1,0,1
50,1,Elvis Peguero,Milwaukee Brewers,St. Louis Cardinals,0,1.1,0,0,0,2,0,0
51,2,Hoby Milner,Milwaukee Brewers,St. Louis Cardinals,0,1.1,2,1,1,0,3,0
52,3,Joel Payamps,Milwaukee Brewers,St. Louis Cardinals,0,1.2,2,0,0,1,4,0
53,4,Peter Strzelecki,Milwaukee Brewers,St. Louis Cardinals,0,1.1,1,0,0,2,0,0
54,5,Devin Williams,Milwaukee Brewers,St. Louis Cardinals,0,1.2,1,0,0,1,2,0
55,6,Jordan Montgomery,St. Louis Cardinals,Milwaukee Brewers,1,5.1,8,3,3,1,7,2
56,7,Jordan Hicks,St. Louis Cardinals,Milwaukee Brewers,1,1.2,0,0,0,0,2,0
57,8,Andre Pallante,St. Louis Cardinals,Milwaukee Brewers,1,1.0,0,0,0,0,1,0
58,9,Drew VerHagen,St. Louis Cardinals,Milwaukee Brewers,1,1.0,1,0,0,0,1,0
59,0,Jared Shuster,Atlanta Braves,Texas Rangers,0,5.0,3,3,3,2,3,1
60,1,Dylan Lee,Atlanta Braves,Texas Rangers,0,1.1,6,3,2,1,1,0
61,2,Joe Jiménez,Atlanta Braves,Texas Rangers,0,1.2,1,1,1,0,1,1
62,3,Dane Dunning,Texas Rangers,Atlanta Braves,1,6.0,6,1,1,0,4,0
63,4,John King,Texas Rangers,Atlanta Braves,1,1.0,0,0,0,0,0,0
64,5,Jonathan Hernández,Texas Rangers,Atlanta Braves,1,0.0,2,3,3,0,0,2
65,6,Josh Sborz,Texas Rangers,Atlanta Braves,1,1.0,0,0,0,0,1,0
66,7,Will Smith,Texas Rangers,Atlanta Braves,1,1.0,0,0,0,0,1,0
67,0,Shane Bieber,Cleveland Guardians,Chicago White Sox,0,4.2,12,6,5,0,4,2
68,1,Xzavion Curry,Cleveland Guardians,Chicago White Sox,0,1.1,3,1,1,0,0,0
69,2,Nick Sandlin,Cleveland Guardians,Chicago White Sox,0,1.0,0,0,0,0,2,0
70,3,Enyel De Los Santos,Cleveland Guardians,Chicago White Sox,0,1.0,1,1,1,1,2,1
71,4,Lance Lynn,Chicago White Sox,Cleveland Guardians,1,7.0,7,3,1,0,7,0
72,5,Keynan Middleton,Chicago White Sox,Cleveland Guardians,1,1.0,2,0,0,0,1,0
73,6,Joe Kelly,Chicago White Sox,Cleveland Guardians,1,1.0,0,0,0,0,1,0
74,0,Justin Steele,Chicago Cubs,Houston Astros,0,6.0,5,5,5,1,8,0
75,1,Nick Burdi,Chicago Cubs,Houston Astros,0,1.0,2,2,2,1,1,0
76,2,Julian Merryweather,Chicago Cubs,Houston Astros,0,1.0,2,0,0,0,1,0
77,3,Cristian Javier,Houston Astros,Chicago Cubs,1,6.0,2,1,1,2,5,1
78,4,Phil Maton,Houston Astros,Chicago Cubs,1,1.0,1,0,0,0,2,0
79,5,Matt Gage,Houston Astros,Chicago Cubs,1,2.0,3,2,2,0,3,1
80,0,Brandon Williamson,Cincinnati Reds,Colorado Rockies,0,5.2,2,1,1,2,6,1
81,1,Derek Law,Cincinnati Reds,Colorado Rockies,0,0.1,1,0,0,0,1,0
82,2,Alex Young,Cincinnati Reds,Colorado Rockies,0,1.0,0,0,0,0,2,0
83,3,Ian Gibaut,Cincinnati Reds,Colorado Rockies,0,1.0,1,0,0,0,1,0
84,4,Alexis Díaz,Cincinnati Reds,Colorado Rockies,0,1.0,0,0,0,0,1,0
85,5,Chase Anderson,Colorado Rockies,Cincinnati Reds,1,5.0,1,0,0,1,3,0
86,6,Peter Lambert,Colorado Rockies,Cincinnati Reds,1,2.0,2,2,2,1,2,1
87,7,Justin Lawrence,Colorado Rockies,Cincinnati Reds,1,1.0,2,1,1,1,1,0
88,8,Daniel Bard,Colorado Rockies,Cincinnati Reds,1,1.0,1,0,0,1,1,0
89,0,Tommy Henry,Arizona Diamondbacks,Oakland Athletics,0,4.2,6,4,4,3,4,2
90,1,Kevin Ginkel,Arizona Diamondbacks,Oakland Athletics,0,2.0,2,3,0,0,5,0
91,2,Kyle Nelson,Arizona Diamondbacks,Oakland Athletics,0,0.1,1,1,1,0,1,1
92,3,José Ruiz,Arizona Diamondbacks,Oakland Athletics,0,1.1,1,0,0,1,0,0
93,4,Andrew Chafin,Arizona Diamondbacks,Oakland Athletics,0,0.2,0,0,0,0,2,0
94,5,Scott McGough,Arizona Diamondbacks,Oakland Athletics,0,2.1,2,1,0,3,4,0
95,6,Kyle Muller,Oakland Athletics,Arizona Diamondbacks,1,4.0,8,5,5,0,3,1
96,7,Garrett Acton,Oakland Athletics,Arizona Diamondbacks,1,2.0,2,1,1,2,3,1
97,8,Shintaro Fujinami,Oakland Athletics,Arizona Diamondbacks,1,1.1,4,2,2,0,3,0
98,9,Zach Jackson,Oakland Athletics,Arizona Diamondbacks,1,0.2,1,0,0,0,1,0
99,10,Richard Lovelady,Oakland Athletics,Arizona Diamondbacks,1,1.0,0,0,0,1,2,0
100,11,Austin Pruitt,Oakland Athletics,Arizona Diamondbacks,1,3.0,0,0,0,1,1,0
101,0,Brady Singer,Kansas City Royals,San Diego Padres,0,6.0,7,4,2,2,3,0
102,1,Aroldis Chapman,Kansas City Royals,San Diego Padres,0,1.0,0,0,0,1,2,0
103,2,Taylor Clarke,Kansas City Royals,San Diego Padres,0,1.0,1,0,0,1,2,0
104,3,Scott Barlow,Kansas City Royals,San Diego Padres,0,1.0,0,0,0,0,1,0
105,4,Seth Lugo,San Diego Padres,Kansas City Royals,1,2.0,4,5,5,2,2,0
106,5,Drew Carlton,San Diego Padres,Kansas City Royals,1,3.0,2,0,0,0,3,0
107,6,Luis García,San Diego Padres,Kansas City Royals,1,1.0,0,0,0,1,3,0
108,7,Steven Wilson,San Diego Padres,Kansas City Royals,1,1.0,2,0,0,0,0,0
109,8,Nick Martinez,San Diego Padres,Kansas City Royals,1,1.0,0,0,0,0,1,0
110,9,Josh Hader,San Diego Padres,Kansas City Royals,1,1.0,0,0,0,0,1,0
111,0,Zack Wheeler,Philadelphia Phillies,San Francisco Giants,0,6.0,9,4,4,1,8,0
112,1,Seranthony Domínguez,Philadelphia Phillies,San Francisco Giants,0,1.0,1,0,0,0,1,0
113,2,Gregory Soto,Philadelphia Phillies,San Francisco Giants,0,1.0,0,0,0,0,2,0
114,3,Alex Cobb,San Francisco Giants,Philadelphia Phillies,1,3.1,5,2,2,5,3,0
115,4,Taylor Rogers,San Francisco Giants,Philadelphia Phillies,1,1.0,0,0,0,0,2,0
116,5,John Brebbia,San Francisco Giants,Philadelphia Phillies,1,1.2,1,0,0,0,3,0
117,6,Tyler Rogers,San Francisco Giants,Philadelphia Phillies,1,2.0,3,0,0,1,0,0
118,7,Camilo Doval,San Francisco Giants,Philadelphia Phillies,1,1.0,1,1,1,0,2,1
119,0,Bailey Ober,Minnesota Twins,Los Angeles Dodgers,0,6.0,6,1,1,1,6,0
120,1,Brock Stewart,Minnesota Twins,Los Angeles Dodgers,0,0.2,1,0,0,1,1,0
121,2,Jovani Moran,Minnesota Twins,Los Angeles Dodgers,0,1.1,0,0,0,1,1,0
122,3,Griffin Jax,Minnesota Twins,Los Angeles Dodgers,0,1.0,1,0,0,0,1,0
123,4,Clayton Kershaw,Los Angeles Dodgers,Minnesota Twins,1,4.0,7,2,2,1,7,0
124,5,Shelby Miller,Los Angeles Dodgers,Minnesota Twins,1,2.0,0,1,1,1,2,0
125,6,Victor González,Los Angeles Dodgers,Minnesota Twins,1,1.0,1,0,0,1,1,0
126,7,Justin Bruihl,Los Angeles Dodgers,Minnesota Twins,1,2.0,3,2,2,0,2,1
