,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Reese Olson,Detroit Tigers,Minnesota Twins,0,2.2,8,4,4,1,3,0
1,Beau Brieske,Detroit Tigers,Minnesota Twins,0,1.0,1,0,0,2,1,0
2,Tyler Holton,Detroit Tigers,Minnesota Twins,0,2.1,0,0,0,0,5,0
3,Alex Lange,Detroit Tigers,Minnesota Twins,0,1.0,0,0,0,0,2,0
4,Will Vest,Detroit Tigers,Minnesota Twins,0,1.0,0,0,0,1,0,0
5,Jason Foley,Detroit Tigers,Minnesota Twins,0,1.0,4,3,3,0,0,2
6,Kenta Maeda,Minnesota Twins,Detroit Tigers,1,4.0,7,3,3,1,6,2
7,Dylan Floro,Minnesota Twins,Detroit Tigers,1,1.0,0,0,0,0,0,0
8,Emilio Pagán,Minnesota Twins,Detroit Tigers,1,1.0,1,0,0,0,1,0
9,Griffin Jax,Minnesota Twins,Detroit Tigers,1,1.0,3,4,4,1,0,2
10,Jordan Balazovic,Minnesota Twins,Detroit Tigers,1,1.0,0,0,0,0,1,0
11,Josh Winder,Minnesota Twins,Detroit Tigers,1,1.0,1,1,1,1,0,0
0,Johan Oviedo,Pittsburgh Pirates,New York Mets,0,4.0,5,4,4,5,3,1
1,Ryan Borucki,Pittsburgh Pirates,New York Mets,0,2.0,1,2,2,1,1,1
2,Jose Hernandez,Pittsburgh Pirates,New York Mets,0,1.0,2,2,1,2,1,1
3,Yohan Ramirez,Pittsburgh Pirates,New York Mets,0,1.0,1,0,0,0,2,0
4,Tylor Megill,New York Mets,Pittsburgh Pirates,1,5.0,5,2,2,4,5,1
5,Phil Bickford,New York Mets,Pittsburgh Pirates,1,1.0,2,1,1,0,0,0
6,Brooks Raley,New York Mets,Pittsburgh Pirates,1,1.0,0,0,0,0,0,0
7,Trevor Gott,New York Mets,Pittsburgh Pirates,1,1.0,0,0,0,0,0,0
8,Adam Ottavino,New York Mets,Pittsburgh Pirates,1,1.0,0,0,0,1,1,0
0,Slade Cecconi,Arizona Diamondbacks,Colorado Rockies,0,4.0,4,2,2,3,4,1
1,Tyler Gilbert,Arizona Diamondbacks,Colorado Rockies,0,0.2,2,1,1,0,0,0
2,Luis Frías,Arizona Diamondbacks,Colorado Rockies,0,0.1,0,0,0,2,1,0
3,Miguel Castro,Arizona Diamondbacks,Colorado Rockies,0,1.0,4,4,4,0,2,1
4,Kyle Nelson,Arizona Diamondbacks,Colorado Rockies,0,1.0,2,0,0,0,0,0
5,Kevin Ginkel,Arizona Diamondbacks,Colorado Rockies,0,1.0,0,0,0,0,2,0
6,Paul Sewald,Arizona Diamondbacks,Colorado Rockies,0,1.0,1,0,0,0,2,0
7,Austin Gomber,Colorado Rockies,Arizona Diamondbacks,1,5.1,7,6,6,3,1,1
8,Jake Bird,Colorado Rockies,Arizona Diamondbacks,1,1.2,2,0,0,0,1,0
9,Tyler Kinley,Colorado Rockies,Arizona Diamondbacks,1,1.0,3,2,2,0,1,1
10,Daniel Bard,Colorado Rockies,Arizona Diamondbacks,1,0.2,0,1,1,3,0,0
11,Justin Bruihl,Colorado Rockies,Arizona Diamondbacks,1,0.1,0,0,0,0,0,0
0,Aaron Civale,Tampa Bay Rays,San Francisco Giants,0,6.0,5,0,0,1,5,0
1,Hector Perez,Tampa Bay Rays,San Francisco Giants,0,0.1,3,1,1,1,0,0
2,Colin Poche,Tampa Bay Rays,San Francisco Giants,0,0.2,0,0,0,0,0,0
3,Jason Adam,Tampa Bay Rays,San Francisco Giants,0,1.0,0,0,0,1,1,0
4,Pete Fairbanks,Tampa Bay Rays,San Francisco Giants,0,1.0,0,0,0,0,1,0
5,Ryan Walker,San Francisco Giants,Tampa Bay Rays,1,1.0,1,1,0,1,2,0
6,Ross Stripling,San Francisco Giants,Tampa Bay Rays,1,6.0,11,5,5,0,3,3
7,Scott Alexander,San Francisco Giants,Tampa Bay Rays,1,1.0,0,0,0,0,0,0
8,Alex Wood,San Francisco Giants,Tampa Bay Rays,1,1.0,2,0,0,0,1,0
0,Noah Syndergaard,Cleveland Guardians,Cincinnati Reds,0,4.1,8,6,5,2,3,2
1,Daniel Norris,Cleveland Guardians,Cincinnati Reds,0,1.1,2,1,0,1,1,0
2,Eli Morgan,Cleveland Guardians,Cincinnati Reds,0,1.1,0,0,0,0,0,0
3,Sam Hentges,Cleveland Guardians,Cincinnati Reds,0,1.0,1,0,0,1,2,0
4,Andrew Abbott,Cincinnati Reds,Cleveland Guardians,1,5.0,6,2,2,0,5,1
5,Fernando Cruz,Cincinnati Reds,Cleveland Guardians,1,1.0,1,0,0,0,2,0
6,Sam Moll,Cincinnati Reds,Cleveland Guardians,1,1.0,0,0,0,0,2,0
7,Derek Law,Cincinnati Reds,Cleveland Guardians,1,1.0,1,0,0,0,0,0
8,Alan Busenitz,Cincinnati Reds,Cleveland Guardians,1,1.0,1,0,0,0,0,0
0,Justin Verlander,Houston Astros,Miami Marlins,0,5.0,9,5,4,2,2,0
1,Kendall Graveman,Houston Astros,Miami Marlins,0,1.0,0,0,0,0,1,0
2,Rafael Montero,Houston Astros,Miami Marlins,0,1.0,0,0,0,0,1,0
3,Ryne Stanek,Houston Astros,Miami Marlins,0,1.0,0,0,0,0,0,0
4,Parker Mushinski,Houston Astros,Miami Marlins,0,1.0,0,0,0,1,1,0
5,Jesús Luzardo,Miami Marlins,Houston Astros,1,3.2,8,6,5,3,3,3
6,Bryan Hoeing,Miami Marlins,Houston Astros,1,2.0,1,0,0,0,2,0
7,Andrew Nardi,Miami Marlins,Houston Astros,1,0.2,1,2,2,1,1,0
8,Jorge López,Miami Marlins,Houston Astros,1,0.1,2,4,4,3,0,0
9,George Soriano,Miami Marlins,Houston Astros,1,1.1,0,0,0,0,1,0
10,A.J. Puk,Miami Marlins,Houston Astros,1,1.0,0,0,0,0,2,0
0,Paul Blackburn,Oakland Athletics,St. Louis Cardinals,0,7.0,6,0,0,1,8,0
1,Austin Pruitt,Oakland Athletics,St. Louis Cardinals,0,2.0,3,0,0,1,2,0
2,Matthew Liberatore,St. Louis Cardinals,Oakland Athletics,1,4.1,10,6,5,3,5,0
3,Casey Lawrence,St. Louis Cardinals,Oakland Athletics,1,4.2,4,2,2,1,4,1
0,James Paxton,Boston Red Sox,Washington Nationals,0,6.0,5,2,2,1,3,2
1,John Schreiber,Boston Red Sox,Washington Nationals,0,1.0,1,0,0,0,0,0
2,Garrett Whitlock,Boston Red Sox,Washington Nationals,0,1.0,3,4,4,0,1,2
3,MacKenzie Gore,Washington Nationals,Boston Red Sox,1,6.1,1,0,0,2,7,0
4,Jordan Weems,Washington Nationals,Boston Red Sox,1,1.0,2,2,2,0,0,1
5,Jose Ferrer,Washington Nationals,Boston Red Sox,1,0.2,1,0,0,0,2,0
6,Kyle Finnegan,Washington Nationals,Boston Red Sox,1,1.0,0,0,0,1,0,0
0,Aaron Nola,Philadelphia Phillies,Toronto Blue Jays,0,5.0,4,4,4,4,7,1
1,Matt Strahm,Philadelphia Phillies,Toronto Blue Jays,0,2.0,1,0,0,0,1,0
2,Craig Kimbrel,Philadelphia Phillies,Toronto Blue Jays,0,1.0,0,0,0,0,2,0
3,Gregory Soto,Philadelphia Phillies,Toronto Blue Jays,0,1.0,0,0,0,0,1,0
4,Kevin Gausman,Toronto Blue Jays,Philadelphia Phillies,1,5.1,7,7,5,3,4,1
5,Tim Mayza,Toronto Blue Jays,Philadelphia Phillies,1,0.1,2,0,0,0,0,0
6,Erik Swanson,Toronto Blue Jays,Philadelphia Phillies,1,0.1,0,0,0,0,1,0
7,Jay Jackson,Toronto Blue Jays,Philadelphia Phillies,1,1.1,1,1,1,0,0,1
8,Génesis Cabrera,Toronto Blue Jays,Philadelphia Phillies,1,0.2,0,0,0,0,1,0
