,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Zack Thompson,St. Louis Cardinals,Pittsburgh Pirates,0,5.0,6,2,2,1,5,1
1,Andre Pallante,St. Louis Cardinals,Pittsburgh Pirates,0,1.1,1,1,1,2,0,0
2,Drew VerHagen,St. Louis Cardinals,Pittsburgh Pirates,0,0.2,1,0,0,0,1,0
3,JoJo Romero,St. Louis Cardinals,Pittsburgh Pirates,0,2.0,2,1,1,0,3,0
4,Luis Ortiz,Pittsburgh Pirates,St. Louis Cardinals,1,3.1,7,5,5,5,5,0
5,Yohan Ramirez,Pittsburgh Pirates,St. Louis Cardinals,1,2.1,1,0,0,1,3,0
6,Jose Hernandez,Pittsburgh Pirates,St. Louis Cardinals,1,1.1,1,0,0,1,3,0
7,Colin Selby,Pittsburgh Pirates,St. Louis Cardinals,1,2.0,1,1,1,2,1,0
0,Jameson Taillon,Chicago Cubs,Detroit Tigers,0,5.2,4,4,4,1,6,1
1,Michael Rucker,Chicago Cubs,Detroit Tigers,0,1.0,0,0,0,2,1,0
2,Julian Merryweather,Chicago Cubs,Detroit Tigers,0,1.1,0,0,0,0,3,0
3,Adbert Alzolay,Chicago Cubs,Detroit Tigers,0,1.0,1,0,0,1,2,0
4,Tarik Skubal,Detroit Tigers,Chicago Cubs,1,6.0,6,4,4,1,7,0
5,Beau Brieske,Detroit Tigers,Chicago Cubs,1,2.0,2,1,1,1,1,0
6,Andrew Vasquez,Detroit Tigers,Chicago Cubs,1,0.1,1,1,1,1,0,0
7,José Cisnero,Detroit Tigers,Chicago Cubs,1,0.2,0,0,0,0,0,0
0,George Kirby,Seattle Mariners,Chicago White Sox,0,5.2,8,3,3,0,9,1
1,Trent Thornton,Seattle Mariners,Chicago White Sox,0,0.1,0,0,0,0,0,0
2,Luke Weaver,Seattle Mariners,Chicago White Sox,0,2.0,0,0,0,0,5,0
3,Andrés Muñoz,Seattle Mariners,Chicago White Sox,0,1.0,2,1,1,0,3,0
4,Justin Topa,Seattle Mariners,Chicago White Sox,0,0.0,0,1,0,0,0,0
5,Michael Kopech,Chicago White Sox,Seattle Mariners,1,4.0,1,0,0,4,5,0
6,Bryan Shaw,Chicago White Sox,Seattle Mariners,1,2.0,0,0,0,0,1,0
7,Aaron Bummer,Chicago White Sox,Seattle Mariners,1,1.0,2,1,1,1,3,0
8,Gregory Santos,Chicago White Sox,Seattle Mariners,1,1.1,4,3,3,1,2,0
9,Edgar Navarro,Chicago White Sox,Seattle Mariners,1,0.2,0,0,0,0,0,0
10,Sammy Peralta,Chicago White Sox,Seattle Mariners,1,1.0,1,0,0,1,1,0
0,Kenta Maeda,Minnesota Twins,Milwaukee Brewers,0,5.0,4,3,3,2,6,1
1,Emilio Pagán,Minnesota Twins,Milwaukee Brewers,0,1.0,2,2,2,0,1,1
2,Caleb Thielbar,Minnesota Twins,Milwaukee Brewers,0,1.0,2,1,1,1,1,1
3,Griffin Jax,Minnesota Twins,Milwaukee Brewers,0,1.0,1,0,0,0,0,0
4,Jhoan Duran,Minnesota Twins,Milwaukee Brewers,0,1.2,2,2,0,1,1,0
5,Corbin Burnes,Milwaukee Brewers,Minnesota Twins,1,6.0,8,6,6,1,5,3
6,Abner Uribe,Milwaukee Brewers,Minnesota Twins,1,1.0,0,0,0,0,2,0
7,Joel Payamps,Milwaukee Brewers,Minnesota Twins,1,1.0,1,0,0,0,1,0
8,Devin Williams,Milwaukee Brewers,Minnesota Twins,1,1.0,0,0,0,1,2,0
9,Elvis Peguero,Milwaukee Brewers,Minnesota Twins,1,1.0,1,1,0,2,0,0
0,Cole Ragans,Kansas City Royals,Oakland Athletics,0,6.0,2,0,0,0,11,0
1,Taylor Clarke,Kansas City Royals,Oakland Athletics,0,1.0,0,0,0,0,1,0
2,Jackson Kowar,Kansas City Royals,Oakland Athletics,0,0.1,0,0,0,3,0,0
3,Carlos Hernández,Kansas City Royals,Oakland Athletics,0,1.2,0,0,0,0,1,0
4,Adrián Martinez,Oakland Athletics,Kansas City Royals,1,2.1,3,1,1,1,3,1
