,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Michael Wacha,San Diego Padres,Cincinnati Reds,0,5.0,5,1,1,2,4,0
1,Tom Cosgrove,San Diego Padres,Cincinnati Reds,0,1.0,0,0,0,0,1,0
2,Luis García,San Diego Padres,Cincinnati Reds,0,1.0,2,4,4,2,1,1
3,Tim Hill,San Diego Padres,Cincinnati Reds,0,1.0,0,0,0,1,0,0
4,Brent Honeywell Jr.,San Diego Padres,Cincinnati Reds,0,1.0,1,0,0,0,0,0
5,Brandon Williamson,Cincinnati Reds,San Diego Padres,1,5.0,3,2,2,1,5,0
6,Buck Farmer,Cincinnati Reds,San Diego Padres,1,1.0,2,3,2,0,0,2
7,Alec Mills,Cincinnati Reds,San Diego Padres,1,1.0,4,5,2,1,0,1
8,Eduardo Salazar,Cincinnati Reds,San Diego Padres,1,2.0,1,2,2,1,0,0
0,Luis Severino,New York Yankees,St. Louis Cardinals,0,4.0,9,9,7,3,2,2
1,Matt Krook,New York Yankees,St. Louis Cardinals,0,1.1,2,2,2,3,1,0
2,Albert Abreu,New York Yankees,St. Louis Cardinals,0,0.2,0,0,0,0,1,0
3,Nick Ramirez,New York Yankees,St. Louis Cardinals,0,1.0,1,0,0,0,0,0
4,Josh Donaldson,New York Yankees,St. Louis Cardinals,0,1.0,0,0,0,0,0,0
5,Jack Flaherty,St. Louis Cardinals,New York Yankees,1,6.0,4,0,0,2,4,0
6,James Naile,St. Louis Cardinals,New York Yankees,1,2.0,3,1,0,2,1,0
7,Drew VerHagen,St. Louis Cardinals,New York Yankees,1,1.0,3,3,3,3,0,1
0,Kutter Crawford,Boston Red Sox,Toronto Blue Jays,0,5.2,3,2,2,2,5,2
1,Josh Winckowski,Boston Red Sox,Toronto Blue Jays,0,2.0,4,3,2,3,4,1
2,Kenley Jansen,Boston Red Sox,Toronto Blue Jays,0,1.1,3,1,1,0,3,0
3,Yusei Kikuchi,Toronto Blue Jays,Boston Red Sox,1,4.1,7,5,5,2,7,1
4,Trevor Richards,Toronto Blue Jays,Boston Red Sox,1,1.1,3,1,1,0,1,0
5,Nate Pearson,Toronto Blue Jays,Boston Red Sox,1,1.1,1,0,0,0,1,0
6,Yimi García,Toronto Blue Jays,Boston Red Sox,1,1.0,0,0,0,0,1,0
7,Erik Swanson,Toronto Blue Jays,Boston Red Sox,1,1.0,2,1,1,0,1,1
0,Bailey Ober,Minnesota Twins,Baltimore Orioles,0,7.0,2,0,0,0,8,0
1,Griffin Jax,Minnesota Twins,Baltimore Orioles,0,1.0,0,0,0,0,0,0
2,Jhoan Duran,Minnesota Twins,Baltimore Orioles,0,1.0,1,0,0,0,0,0
3,Kyle Bradish,Baltimore Orioles,Minnesota Twins,1,6.0,7,1,1,1,7,1
4,Mike Baumann,Baltimore Orioles,Minnesota Twins,1,1.0,0,0,0,1,2,0
5,Danny Coulombe,Baltimore Orioles,Minnesota Twins,1,1.0,0,0,0,0,1,0
6,Yennier Cano,Baltimore Orioles,Minnesota Twins,1,1.0,0,0,0,0,2,0
0,MacKenzie Gore,Washington Nationals,Philadelphia Phillies,0,2.2,6,7,7,3,3,1
1,Amos Willingham,Washington Nationals,Philadelphia Phillies,0,1.1,5,4,4,0,1,2
2,Joe La Sorsa,Washington Nationals,Philadelphia Phillies,0,0.1,4,4,4,0,0,0
3,Thaddeus Ward,Washington Nationals,Philadelphia Phillies,0,0.2,2,4,4,2,0,1
4,Jose Ferrer,Washington Nationals,Philadelphia Phillies,0,1.0,0,0,0,0,2,0
5,Cory Abbott,Washington Nationals,Philadelphia Phillies,0,1.0,1,0,0,0,0,0
6,Ildemaro Vargas,Washington Nationals,Philadelphia Phillies,0,1.0,0,0,0,0,0,0
7,Zack Wheeler,Philadelphia Phillies,Washington Nationals,1,5.0,7,4,4,0,6,1
8,Andrew Vasquez,Philadelphia Phillies,Washington Nationals,1,2.0,1,0,0,0,0,0
9,Dylan Covey,Philadelphia Phillies,Washington Nationals,1,2.0,2,0,0,0,1,0
0,Corbin Burnes,Milwaukee Brewers,Pittsburgh Pirates,0,7.0,1,2,2,2,7,0
1,Clayton Andrews,Milwaukee Brewers,Pittsburgh Pirates,0,0.2,4,5,5,1,0,1
2,Bryse Wilson,Milwaukee Brewers,Pittsburgh Pirates,0,0.1,2,1,1,0,1,0
3,Joel Payamps,Milwaukee Brewers,Pittsburgh Pirates,0,1.0,0,0,0,0,1,0
4,Johan Oviedo,Pittsburgh Pirates,Milwaukee Brewers,1,5.0,9,8,8,3,1,1
5,Roansy Contreras,Pittsburgh Pirates,Milwaukee Brewers,1,2.1,3,3,3,1,2,1
6,Colin Holderman,Pittsburgh Pirates,Milwaukee Brewers,1,0.2,0,0,0,0,0,0
7,Yerry De Los Santos,Pittsburgh Pirates,Milwaukee Brewers,1,1.0,0,0,0,1,1,0
0,Hunter Brown,Houston Astros,Texas Rangers,0,4.0,10,3,3,0,6,0
1,Seth Martinez,Houston Astros,Texas Rangers,0,2.0,2,0,0,1,4,0
2,Ryne Stanek,Houston Astros,Texas Rangers,0,1.0,2,1,1,0,0,0
3,Rafael Montero,Houston Astros,Texas Rangers,0,1.0,1,1,0,1,1,0
4,Nathan Eovaldi,Texas Rangers,Houston Astros,1,7.0,2,0,0,4,5,0
5,Josh Sborz,Texas Rangers,Houston Astros,1,1.0,0,0,0,0,1,0
6,Joe Barlow,Texas Rangers,Houston Astros,1,0.2,2,2,2,0,0,1
7,Will Smith,Texas Rangers,Houston Astros,1,0.1,0,0,0,0,0,0
0,Dylan Cease,Chicago White Sox,Oakland Athletics,0,5.1,6,3,3,3,5,0
1,Gregory Santos,Chicago White Sox,Oakland Athletics,0,0.2,1,0,0,1,1,0
2,Keynan Middleton,Chicago White Sox,Oakland Athletics,0,1.0,1,1,1,0,0,1
3,Joe Kelly,Chicago White Sox,Oakland Athletics,0,1.0,2,2,2,1,3,0
4,Reynaldo López,Chicago White Sox,Oakland Athletics,0,1.0,1,0,0,1,0,0
5,Kendall Graveman,Chicago White Sox,Oakland Athletics,0,0.2,0,1,0,0,1,0
6,Kyle Muller,Oakland Athletics,Chicago White Sox,1,5.0,6,3,3,4,4,1
7,Austin Pruitt,Oakland Athletics,Chicago White Sox,1,1.0,0,0,0,0,2,0
8,Lucas Erceg,Oakland Athletics,Chicago White Sox,1,1.2,3,3,3,1,3,0
9,Sam Long,Oakland Athletics,Chicago White Sox,1,0.1,0,0,0,2,0,0
10,Trevor May,Oakland Athletics,Chicago White Sox,1,1.0,1,0,0,0,1,0
11,Shintaro Fujinami,Oakland Athletics,Chicago White Sox,1,1.0,0,0,0,0,2,0
0,Eury Pérez,Miami Marlins,Atlanta Braves,0,0.1,7,6,6,0,0,2
1,George Soriano,Miami Marlins,Atlanta Braves,0,3.2,0,0,0,1,3,0
2,Huascar Brazoban,Miami Marlins,Atlanta Braves,0,2.0,0,0,0,0,1,0
3,Dylan Floro,Miami Marlins,Atlanta Braves,0,1.0,0,0,0,0,1,0
4,Steven Okert,Miami Marlins,Atlanta Braves,0,1.0,2,1,1,0,0,0
5,Charlie Morton,Atlanta Braves,Miami Marlins,1,5.2,4,0,0,1,5,0
6,Kirby Yates,Atlanta Braves,Miami Marlins,1,0.1,0,0,0,1,1,0
7,Nick Anderson,Atlanta Braves,Miami Marlins,1,1.0,1,0,0,0,0,0
8,Ben Heller,Atlanta Braves,Miami Marlins,1,1.0,0,0,0,0,0,0
9,Joe Jiménez,Atlanta Braves,Miami Marlins,1,1.0,1,0,0,0,0,0
0,Anthony DeSclafani,San Francisco Giants,New York Mets,0,3.0,3,3,3,0,3,3
1,Sean Manaea,San Francisco Giants,New York Mets,0,3.0,1,1,1,1,3,0
2,Jakob Junis,San Francisco Giants,New York Mets,0,2.0,0,0,0,0,0,0
3,Justin Verlander,New York Mets,San Francisco Giants,1,7.0,5,1,0,1,6,0
4,Drew Smith,New York Mets,San Francisco Giants,1,1.0,0,0,0,0,1,0
5,Adam Ottavino,New York Mets,San Francisco Giants,1,1.0,0,0,0,1,0,0
0,Tanner Bibee,Cleveland Guardians,Chicago Cubs,0,5.2,3,0,0,2,9,0
1,Sam Hentges,Cleveland Guardians,Chicago Cubs,0,0.2,1,0,0,0,0,0
2,Nick Sandlin,Cleveland Guardians,Chicago Cubs,0,1.2,0,0,0,0,3,0
