,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Cristian Javier,Houston Astros,Texas Rangers,0,4.1,9,8,8,0,4,2
1,Phil Maton,Houston Astros,Texas Rangers,0,0.2,1,1,0,1,1,0
2,Ryne Stanek,Houston Astros,Texas Rangers,0,1.0,0,0,0,0,0,0
3,Hector Neris,Houston Astros,Texas Rangers,0,1.0,1,1,1,0,1,1
4,Bryan Abreu,Houston Astros,Texas Rangers,0,1.0,1,1,0,0,0,0
5,Ryan Pressly,Houston Astros,Texas Rangers,0,1.0,0,0,0,0,1,0
6,Martín Pérez,Texas Rangers,Houston Astros,1,1.1,6,6,6,2,0,3
7,Glenn Otto,Texas Rangers,Houston Astros,1,3.1,4,4,4,1,2,1
8,Cody Bradford,Texas Rangers,Houston Astros,1,2.1,0,0,0,0,4,0
9,Aroldis Chapman,Texas Rangers,Houston Astros,1,1.0,0,0,0,0,1,0
10,Will Smith,Texas Rangers,Houston Astros,1,1.0,3,2,2,0,0,0
0,Drew Smyly,Chicago Cubs,Milwaukee Brewers,0,3.2,4,3,3,3,5,0
1,Michael Fulmer,Chicago Cubs,Milwaukee Brewers,0,2.1,0,0,0,2,0,0
2,Julian Merryweather,Chicago Cubs,Milwaukee Brewers,0,0.2,1,3,3,2,0,0
3,Anthony Kay,Chicago Cubs,Milwaukee Brewers,0,0.0,1,0,0,1,0,0
4,Mark Leiter Jr.,Chicago Cubs,Milwaukee Brewers,0,1.1,3,2,2,0,2,0
5,Julio Teheran,Milwaukee Brewers,Chicago Cubs,1,6.0,9,6,6,1,7,0
6,J.B. Bukauskas,Milwaukee Brewers,Chicago Cubs,1,1.0,0,0,0,1,0,0
7,Joel Payamps,Milwaukee Brewers,Chicago Cubs,1,1.0,0,0,0,0,1,0
8,Devin Williams,Milwaukee Brewers,Chicago Cubs,1,1.0,1,0,0,1,1,0
0,Luke Weaver,Cincinnati Reds,Washington Nationals,0,5.0,6,2,2,1,2,1
1,Ian Gibaut,Cincinnati Reds,Washington Nationals,0,1.0,1,0,0,0,1,0
2,Buck Farmer,Cincinnati Reds,Washington Nationals,0,1.0,0,0,0,0,1,0
3,Derek Law,Cincinnati Reds,Washington Nationals,0,1.0,0,0,0,0,1,0
4,Alexis Díaz,Cincinnati Reds,Washington Nationals,0,1.0,1,0,0,0,0,0
5,Jake Irvin,Washington Nationals,Cincinnati Reds,1,6.0,6,3,3,1,3,1
6,Jordan Weems,Washington Nationals,Cincinnati Reds,1,1.1,0,0,0,0,4,0
7,Joe La Sorsa,Washington Nationals,Cincinnati Reds,1,0.2,0,0,0,0,1,0
8,Amos Willingham,Washington Nationals,Cincinnati Reds,1,1.0,1,0,0,1,0,0
0,Miles Mikolas,St. Louis Cardinals,Miami Marlins,0,6.1,4,4,4,2,2,0
1,Andre Pallante,St. Louis Cardinals,Miami Marlins,0,1.0,2,1,1,0,1,0
2,Chris Stratton,St. Louis Cardinals,Miami Marlins,0,0.2,0,0,0,0,1,0
3,Braxton Garrett,Miami Marlins,St. Louis Cardinals,1,5.2,7,3,3,0,6,1
4,Andrew Nardi,Miami Marlins,St. Louis Cardinals,1,0.1,1,1,1,1,0,0
5,Huascar Brazoban,Miami Marlins,St. Louis Cardinals,1,1.0,1,0,0,1,2,0
6,Tanner Scott,Miami Marlins,St. Louis Cardinals,1,1.0,1,0,0,0,2,0
7,A.J. Puk,Miami Marlins,St. Louis Cardinals,1,1.0,1,0,0,0,1,0
0,Tyler Wells,Baltimore Orioles,New York Yankees,0,6.0,5,2,2,2,4,2
1,Mike Baumann,Baltimore Orioles,New York Yankees,0,0.1,2,1,1,0,0,0
2,Yennier Cano,Baltimore Orioles,New York Yankees,0,0.2,1,1,1,0,0,0
3,Danny Coulombe,Baltimore Orioles,New York Yankees,0,0.1,2,2,2,0,0,1
4,Chris Vallimont,Baltimore Orioles,New York Yankees,0,0.2,1,0,0,0,1,0
5,Domingo Germán,New York Yankees,Baltimore Orioles,1,4.1,9,3,2,0,5,0
6,Nick Ramirez,New York Yankees,Baltimore Orioles,1,1.2,0,0,0,0,2,0
7,Ian Hamilton,New York Yankees,Baltimore Orioles,1,1.0,2,0,0,0,0,0
8,Tommy Kahnle,New York Yankees,Baltimore Orioles,1,1.0,1,0,0,0,2,0
9,Clay Holmes,New York Yankees,Baltimore Orioles,1,1.0,0,0,0,0,2,0
0,Bryce Elder,Atlanta Braves,Cleveland Guardians,0,6.2,7,2,2,2,1,0
1,A.J. Minter,Atlanta Braves,Cleveland Guardians,0,1.0,1,0,0,1,0,0
2,Nick Anderson,Atlanta Braves,Cleveland Guardians,0,0.1,0,0,0,0,0,0
3,Raisel Iglesias,Atlanta Braves,Cleveland Guardians,0,1.0,0,0,0,0,1,0
4,Gavin Williams,Cleveland Guardians,Atlanta Braves,1,6.1,7,4,4,2,2,3
5,Xzavion Curry,Cleveland Guardians,Atlanta Braves,1,2.2,0,0,0,0,2,0
0,Austin Cox,Kansas City Royals,Minnesota Twins,0,4.2,7,3,3,2,4,0
1,Jose Cuas,Kansas City Royals,Minnesota Twins,0,1.1,0,0,0,1,1,0
2,Collin Snider,Kansas City Royals,Minnesota Twins,0,1.0,1,0,0,0,1,0
3,Taylor Clarke,Kansas City Royals,Minnesota Twins,0,0.1,5,5,5,1,0,1
4,Nick Wittgren,Kansas City Royals,Minnesota Twins,0,0.2,1,0,0,0,1,0
5,Joe Ryan,Minnesota Twins,Kansas City Royals,1,6.0,6,2,2,1,9,1
6,Jovani Moran,Minnesota Twins,Kansas City Royals,1,0.2,0,0,0,1,1,0
7,Jordan Balazovic,Minnesota Twins,Kansas City Royals,1,0.1,0,0,0,0,0,0
8,Brent Headrick,Minnesota Twins,Kansas City Royals,1,1.0,1,1,1,0,2,1
9,Emilio Pagán,Minnesota Twins,Kansas City Royals,1,1.0,2,1,1,1,1,0
0,Jaime Barria,Los Angeles Angels,San Diego Padres,0,5.0,5,4,4,0,5,1
1,Victor Mederos,Los Angeles Angels,San Diego Padres,0,0.0,3,2,2,1,0,0
2,Tucker Davidson,Los Angeles Angels,San Diego Padres,0,1.1,0,2,2,2,2,0
3,Sam Bachman,Los Angeles Angels,San Diego Padres,0,1.2,4,2,2,2,1,0
4,Blake Snell,San Diego Padres,Los Angeles Angels,1,5.0,7,0,0,4,7,0
5,Domingo Tapia,San Diego Padres,Los Angeles Angels,1,0.1,3,2,2,0,0,0
6,Tom Cosgrove,San Diego Padres,Los Angeles Angels,1,0.2,1,0,0,1,1,0
7,Tim Hill,San Diego Padres,Los Angeles Angels,1,0.2,2,1,1,0,0,1
8,Nick Martinez,San Diego Padres,Los Angeles Angels,1,1.1,0,0,0,0,2,0
9,Josh Hader,San Diego Padres,Los Angeles Angels,1,1.0,1,0,0,1,1,0
0,Bryan Woo,Seattle Mariners,San Francisco Giants,0,6.0,3,2,2,2,7,1
1,Ty Adcock,Seattle Mariners,San Francisco Giants,0,1.0,0,0,0,0,0,0
2,Andrés Muñoz,Seattle Mariners,San Francisco Giants,0,1.0,0,0,0,0,2,0
3,Paul Sewald,Seattle Mariners,San Francisco Giants,0,1.0,4,3,3,0,2,1
4,Logan Webb,San Francisco Giants,Seattle Mariners,1,6.2,7,2,2,2,11,0
5,Taylor Rogers,San Francisco Giants,Seattle Mariners,1,0.1,0,0,0,0,0,0
6,Tyler Rogers,San Francisco Giants,Seattle Mariners,1,1.0,0,0,0,0,0,0
7,Camilo Doval,San Francisco Giants,Seattle Mariners,1,1.0,3,4,4,0,1,0
0,Mitch Keller,Pittsburgh Pirates,Los Angeles Dodgers,0,5.0,8,5,4,1,7,1
1,Yerry De Los Santos,Pittsburgh Pirates,Los Angeles Dodgers,0,2.0,1,0,0,0,2,0
2,Dauri Moreta,Pittsburgh Pirates,Los Angeles Dodgers,0,1.0,0,0,0,0,1,0
3,Michael Grove,Los Angeles Dodgers,Pittsburgh Pirates,1,4.0,5,1,1,2,3,0
4,Caleb Ferguson,Los Angeles Dodgers,Pittsburgh Pirates,1,1.0,0,0,0,0,2,0
5,Ryan Brasier,Los Angeles Dodgers,Pittsburgh Pirates,1,1.0,2,1,1,1,2,0
6,Brusdar Graterol,Los Angeles Dodgers,Pittsburgh Pirates,1,1.0,0,0,0,0,0,0
7,Daniel Hudson,Los Angeles Dodgers,Pittsburgh Pirates,1,1.0,0,0,0,1,1,0
8,Evan Phillips,Los Angeles Dodgers,Pittsburgh Pirates,1,1.0,0,0,0,0,0,0
