,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Michael King,New York Yankees,Detroit Tigers,0,4.0,3,0,0,0,5,0
1,Jhony Brito,New York Yankees,Detroit Tigers,0,3.1,2,0,0,2,3,0
2,Wandy Peralta,New York Yankees,Detroit Tigers,0,0.2,0,0,0,0,0,0
3,Clay Holmes,New York Yankees,Detroit Tigers,0,1.0,2,2,2,1,2,0
4,Tarik Skubal,Detroit Tigers,New York Yankees,1,6.0,4,3,2,2,9,2
5,Will Vest,Detroit Tigers,New York Yankees,1,1.0,0,0,0,0,2,0
6,Garrett Hill,Detroit Tigers,New York Yankees,1,2.0,2,1,1,1,0,1
0,Aaron Civale,Tampa Bay Rays,Miami Marlins,0,5.0,7,2,2,0,5,1
1,Robert Stephenson,Tampa Bay Rays,Miami Marlins,0,1.0,1,0,0,0,1,0
2,Erasmo Ramírez,Tampa Bay Rays,Miami Marlins,0,2.0,1,0,0,0,1,0
3,Jake Diekman,Tampa Bay Rays,Miami Marlins,0,1.0,1,0,0,1,0,0
4,Sandy Alcantara,Miami Marlins,Tampa Bay Rays,1,5.2,7,4,4,2,4,0
5,Steven Okert,Miami Marlins,Tampa Bay Rays,1,0.2,2,2,2,0,1,0
6,George Soriano,Miami Marlins,Tampa Bay Rays,1,0.2,2,2,2,0,0,2
7,Jorge López,Miami Marlins,Tampa Bay Rays,1,2.0,4,3,3,2,2,1
0,Tyler Anderson,Los Angeles Angels,Philadelphia Phillies,0,5.0,7,6,6,3,3,3
1,José Soriano,Los Angeles Angels,Philadelphia Phillies,0,0.2,2,2,2,0,1,0
2,Jaime Barria,Los Angeles Angels,Philadelphia Phillies,0,2.1,4,4,4,0,1,2
3,Michael Lorenzen,Philadelphia Phillies,Los Angeles Angels,1,6.0,8,4,3,2,5,2
4,José Alvarado,Philadelphia Phillies,Los Angeles Angels,1,1.0,1,1,1,0,1,1
5,Seranthony Domínguez,Philadelphia Phillies,Los Angeles Angels,1,1.0,0,0,0,0,0,0
6,Andrew Bellatti,Philadelphia Phillies,Los Angeles Angels,1,1.0,2,2,2,1,1,0
0,Jesse Scholtens,Chicago White Sox,Baltimore Orioles,0,5.1,6,1,1,0,1,0
