,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Chase Anderson,Colorado Rockies,Houston Astros,0,4.0,7,5,5,1,3,3
1,Jake Bird,Colorado Rockies,Houston Astros,0,1.0,0,0,0,1,0,0
2,Matt Koch,Colorado Rockies,Houston Astros,0,1.0,0,0,0,0,1,0
3,Pierce Johnson,Colorado Rockies,Houston Astros,0,0.2,3,1,1,1,2,0
4,Daniel Bard,Colorado Rockies,Houston Astros,0,1.1,0,0,0,0,0,0
5,J.P. France,Houston Astros,Colorado Rockies,1,6.0,6,3,3,1,4,1
6,Hector Neris,Houston Astros,Colorado Rockies,1,1.0,1,1,1,0,1,1
7,Bryan Abreu,Houston Astros,Colorado Rockies,1,1.0,1,0,0,0,2,0
8,Ryan Pressly,Houston Astros,Colorado Rockies,1,1.0,0,0,0,0,2,0
0,Austin Pruitt,Oakland Athletics,Detroit Tigers,0,3.0,0,0,0,0,1,0
1,Ken Waldichuk,Oakland Athletics,Detroit Tigers,0,4.1,2,2,2,3,3,0
2,Rico Garcia,Oakland Athletics,Detroit Tigers,0,0.2,0,0,0,1,1,0
3,Sam Moll,Oakland Athletics,Detroit Tigers,0,1.0,2,1,1,0,3,0
4,Eduardo Rodriguez,Detroit Tigers,Oakland Athletics,1,4.0,6,5,5,0,7,2
5,Mason Englert,Detroit Tigers,Oakland Athletics,1,1.1,2,1,1,0,0,0
6,Zach Logue,Detroit Tigers,Oakland Athletics,1,3.2,6,6,6,1,3,1
0,Matthew Liberatore,St. Louis Cardinals,Miami Marlins,0,0.1,5,4,4,1,0,0
1,Dakota Hudson,St. Louis Cardinals,Miami Marlins,0,2.2,2,2,2,3,1,1
2,Steven Matz,St. Louis Cardinals,Miami Marlins,0,2.1,3,2,2,1,2,0
3,Chris Stratton,St. Louis Cardinals,Miami Marlins,0,1.2,1,0,0,0,1,0
4,Giovanny Gallegos,St. Louis Cardinals,Miami Marlins,0,1.0,0,0,0,0,0,0
5,Jordan Hicks,St. Louis Cardinals,Miami Marlins,0,0.1,2,2,1,1,1,0
6,Bryan Hoeing,Miami Marlins,St. Louis Cardinals,1,3.0,5,5,5,3,3,1
7,George Soriano,Miami Marlins,St. Louis Cardinals,1,1.0,2,1,1,1,0,0
8,JT Chargois,Miami Marlins,St. Louis Cardinals,1,1.0,0,0,0,2,2,0
9,Steven Okert,Miami Marlins,St. Louis Cardinals,1,1.0,0,0,0,0,1,0
10,Huascar Brazoban,Miami Marlins,St. Louis Cardinals,1,1.0,2,1,1,0,1,0
11,Tanner Scott,Miami Marlins,St. Louis Cardinals,1,1.0,1,0,0,1,3,0
12,A.J. Puk,Miami Marlins,St. Louis Cardinals,1,1.0,2,2,2,0,3,1
0,Taijuan Walker,Philadelphia Phillies,Tampa Bay Rays,0,7.0,5,4,4,5,8,1
1,Gregory Soto,Philadelphia Phillies,Tampa Bay Rays,0,1.0,1,0,0,0,1,0
2,Jeff Hoffman,Philadelphia Phillies,Tampa Bay Rays,0,1.0,1,0,0,0,2,0
3,Zack Littell,Tampa Bay Rays,Philadelphia Phillies,1,2.0,4,2,2,0,2,0
4,Yonny Chirinos,Tampa Bay Rays,Philadelphia Phillies,1,2.2,8,3,3,0,1,1
5,Jake Diekman,Tampa Bay Rays,Philadelphia Phillies,1,0.2,0,0,0,1,1,0
6,Robert Stephenson,Tampa Bay Rays,Philadelphia Phillies,1,0.2,1,1,1,0,1,1
7,Luis Patiño,Tampa Bay Rays,Philadelphia Phillies,1,2.0,3,2,2,2,2,0
8,Colin Poche,Tampa Bay Rays,Philadelphia Phillies,1,1.0,1,0,0,0,2,0
0,Dean Kremer,Baltimore Orioles,New York Yankees,0,7.0,4,2,1,1,10,1
1,Yennier Cano,Baltimore Orioles,New York Yankees,0,0.2,2,1,1,0,0,1
2,Félix Bautista,Baltimore Orioles,New York Yankees,0,1.1,0,0,0,1,2,0
3,Randy Vásquez,New York Yankees,Baltimore Orioles,1,5.0,3,0,0,3,1,0
4,Nick Ramirez,New York Yankees,Baltimore Orioles,1,0.1,3,3,3,0,0,0
5,Michael King,New York Yankees,Baltimore Orioles,1,2.2,2,1,1,1,2,0
6,Ian Hamilton,New York Yankees,Baltimore Orioles,1,1.0,2,2,2,0,0,1
0,Graham Ashcraft,Cincinnati Reds,Washington Nationals,0,6.0,7,1,1,3,2,0
1,Derek Law,Cincinnati Reds,Washington Nationals,0,1.0,2,1,1,0,0,0
2,Alex Young,Cincinnati Reds,Washington Nationals,0,1.0,1,0,0,0,0,0
3,Fernando Cruz,Cincinnati Reds,Washington Nationals,0,1.0,0,0,0,1,2,0
4,Josiah Gray,Washington Nationals,Cincinnati Reds,1,5.0,8,5,3,4,6,2
5,Amos Willingham,Washington Nationals,Cincinnati Reds,1,1.0,1,0,0,0,1,0
6,Joe La Sorsa,Washington Nationals,Cincinnati Reds,1,2.0,6,4,4,2,2,0
7,Jordan Weems,Washington Nationals,Cincinnati Reds,1,1.0,1,0,0,2,0,0
0,Jon Gray,Texas Rangers,Boston Red Sox,0,6.0,9,4,3,3,2,0
1,John King,Texas Rangers,Boston Red Sox,0,2.0,1,0,0,0,1,0
2,Brayan Bello,Boston Red Sox,Texas Rangers,1,7.0,8,2,2,0,3,1
3,Chris Martin,Boston Red Sox,Texas Rangers,1,1.0,1,0,0,0,1,0
