,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Drew Smyly,Chicago Cubs,Detroit Tigers,0,3.2,8,7,7,3,4,2
1,Hayden Wesneski,Chicago Cubs,Detroit Tigers,0,2.1,1,0,0,2,5,0
2,Daniel Palencia,Chicago Cubs,Detroit Tigers,0,1.0,0,0,0,0,1,0
3,Jose Cuas,Chicago Cubs,Detroit Tigers,0,1.0,0,1,1,2,0,0
4,Reese Olson,Detroit Tigers,Chicago Cubs,1,4.2,4,6,6,3,7,2
5,Brendan White,Detroit Tigers,Chicago Cubs,1,1.1,1,0,0,0,1,0
6,Tyler Holton,Detroit Tigers,Chicago Cubs,1,1.1,0,0,0,0,0,0
7,Jason Foley,Detroit Tigers,Chicago Cubs,1,0.2,2,0,0,0,0,0
8,Alex Lange,Detroit Tigers,Chicago Cubs,1,1.0,1,0,0,0,1,0
0,Kyle Harrison,San Francisco Giants,Philadelphia Phillies,0,3.1,5,2,2,1,5,1
1,Ryan Walker,San Francisco Giants,Philadelphia Phillies,0,1.2,1,0,0,0,3,0
2,Luke Jackson,San Francisco Giants,Philadelphia Phillies,0,1.0,1,0,0,0,1,0
3,Tyler Rogers,San Francisco Giants,Philadelphia Phillies,0,1.0,0,0,0,0,2,0
4,Taylor Rogers,San Francisco Giants,Philadelphia Phillies,0,1.0,0,0,0,1,0,0
5,Camilo Doval,San Francisco Giants,Philadelphia Phillies,0,0.1,2,2,2,1,0,0
6,Taijuan Walker,Philadelphia Phillies,San Francisco Giants,1,5.0,6,3,2,2,7,0
7,Seranthony Domínguez,Philadelphia Phillies,San Francisco Giants,1,1.0,0,0,0,1,0,0
8,José Alvarado,Philadelphia Phillies,San Francisco Giants,1,1.0,0,0,0,1,2,0
9,Gregory Soto,Philadelphia Phillies,San Francisco Giants,1,1.0,1,0,0,0,2,0
10,Craig Kimbrel,Philadelphia Phillies,San Francisco Giants,1,1.0,1,0,0,0,1,0
0,Ty Blach,Colorado Rockies,Tampa Bay Rays,0,4.0,7,3,3,3,4,0
1,Tommy Doyle,Colorado Rockies,Tampa Bay Rays,0,2.0,0,0,0,0,2,0
2,Matt Koch,Colorado Rockies,Tampa Bay Rays,0,1.0,1,0,0,0,0,0
3,Brent Suter,Colorado Rockies,Tampa Bay Rays,0,0.1,4,5,5,1,1,0
4,Daniel Bard,Colorado Rockies,Tampa Bay Rays,0,0.1,4,4,4,0,0,1
5,Justin Bruihl,Colorado Rockies,Tampa Bay Rays,0,0.1,0,0,0,0,0,0
6,Zack Littell,Tampa Bay Rays,Colorado Rockies,1,5.1,7,4,4,1,6,1
7,Colin Poche,Tampa Bay Rays,Colorado Rockies,1,0.2,0,0,0,1,2,0
8,Shawn Armstrong,Tampa Bay Rays,Colorado Rockies,1,1.0,0,0,0,0,2,0
9,Andrew Kittredge,Tampa Bay Rays,Colorado Rockies,1,1.0,1,0,0,0,1,0
10,Robert Stephenson,Tampa Bay Rays,Colorado Rockies,1,1.0,0,0,0,0,1,0
0,Yusei Kikuchi,Toronto Blue Jays,Baltimore Orioles,0,4.2,7,3,3,1,6,0
1,Yimi García,Toronto Blue Jays,Baltimore Orioles,0,0.1,1,0,0,0,0,0
2,Trevor Richards,Toronto Blue Jays,Baltimore Orioles,0,1.0,0,0,0,0,2,0
3,Jordan Hicks,Toronto Blue Jays,Baltimore Orioles,0,1.0,0,0,0,0,1,0
4,Erik Swanson,Toronto Blue Jays,Baltimore Orioles,0,1.0,0,0,0,0,3,0
5,Tim Mayza,Toronto Blue Jays,Baltimore Orioles,0,1.0,1,0,0,1,0,0
6,Jordan Romano,Toronto Blue Jays,Baltimore Orioles,0,1.0,0,0,0,0,2,0
7,Grayson Rodriguez,Baltimore Orioles,Toronto Blue Jays,1,6.0,8,3,3,2,5,1
8,Jacob Webb,Baltimore Orioles,Toronto Blue Jays,1,0.2,1,0,0,0,1,0
9,Cionel Pérez,Baltimore Orioles,Toronto Blue Jays,1,0.1,0,0,0,0,1,0
10,Yennier Cano,Baltimore Orioles,Toronto Blue Jays,1,1.0,1,0,0,0,2,0
11,Félix Bautista,Baltimore Orioles,Toronto Blue Jays,1,1.0,0,0,0,0,0,0
12,Mike Baumann,Baltimore Orioles,Toronto Blue Jays,1,1.0,2,3,2,0,1,1
0,Josiah Gray,Washington Nationals,New York Yankees,0,6.0,1,1,1,5,4,1
1,Mason Thompson,Washington Nationals,New York Yankees,0,1.0,1,0,0,0,0,0
2,Hunter Harvey,Washington Nationals,New York Yankees,0,1.0,0,0,0,0,2,0
