,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Charlie Morton,Atlanta Braves,New York Mets,0,5.1,6,4,4,3,6,0
1,1,Michael Tonkin,Atlanta Braves,New York Mets,0,1.2,1,0,0,0,1,0
2,2,Joe Jiménez,Atlanta Braves,New York Mets,0,1.0,2,1,1,0,2,1
3,3,Tylor Megill,New York Mets,Atlanta Braves,1,5.2,4,3,3,3,4,0
4,4,Drew Smith,New York Mets,Atlanta Braves,1,1.1,0,0,0,1,2,0
5,5,David Robertson,New York Mets,Atlanta Braves,1,2.0,2,0,0,0,4,0
6,0,Spencer Strider,Atlanta Braves,New York Mets,0,5.0,5,4,4,3,8,1
7,1,Dylan Lee,Atlanta Braves,New York Mets,0,0.2,1,1,1,1,0,1
8,2,Collin McHugh,Atlanta Braves,New York Mets,0,0.2,2,2,2,0,0,0
9,3,Jesse Chavez,Atlanta Braves,New York Mets,0,0.2,0,0,0,0,0,0
10,4,Nick Anderson,Atlanta Braves,New York Mets,0,1.0,0,0,0,0,2,0
11,5,A.J. Minter,Atlanta Braves,New York Mets,0,1.0,1,1,1,0,1,1
12,6,Denyi Reyes,New York Mets,Atlanta Braves,1,1.0,5,5,5,1,1,2
13,7,John Curtiss,New York Mets,Atlanta Braves,1,2.0,1,1,1,0,0,1
14,8,Stephen Nogosek,New York Mets,Atlanta Braves,1,2.2,1,0,0,0,0,0
15,9,Jeff Brigham,New York Mets,Atlanta Braves,1,1.1,2,3,3,2,1,1
16,10,Tommy Hunter,New York Mets,Atlanta Braves,1,2.0,0,0,0,0,4,0
17,0,Cal Quantrill,Cleveland Guardians,New York Yankees,0,7.1,6,2,2,1,2,1
18,1,Enyel De Los Santos,Cleveland Guardians,New York Yankees,0,0.2,0,0,0,0,0,0
19,2,Emmanuel Clase,Cleveland Guardians,New York Yankees,0,1.0,0,0,0,0,1,0
20,3,Domingo Germán,New York Yankees,Cleveland Guardians,1,8.1,2,1,1,1,6,0
21,4,Clay Holmes,New York Yankees,Cleveland Guardians,1,0.0,3,2,2,0,0,0
