,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Dean Kremer,Baltimore Orioles,Detroit Tigers,0,5.0,11,5,5,2,6,0
1,1,DL Hall,Baltimore Orioles,Detroit Tigers,0,3.0,5,2,2,1,7,1
2,2,Eduardo Rodriguez,Detroit Tigers,Baltimore Orioles,1,5.2,4,1,1,2,5,1
3,3,Mason Englert,Detroit Tigers,Baltimore Orioles,1,2.1,3,3,3,1,0,1
4,4,Alex Lange,Detroit Tigers,Baltimore Orioles,1,1.0,2,0,0,0,2,0
5,0,Rich Hill,Pittsburgh Pirates,Washington Nationals,0,6.1,8,3,2,0,5,0
6,1,Robert Stephenson,Pittsburgh Pirates,Washington Nationals,0,0.2,0,0,0,0,1,0
7,2,Colin Holderman,Pittsburgh Pirates,Washington Nationals,0,1.0,0,0,0,0,0,0
8,3,David Bednar,Pittsburgh Pirates,Washington Nationals,0,1.0,0,0,0,0,2,0
9,4,Patrick Corbin,Washington Nationals,Pittsburgh Pirates,1,5.1,7,3,3,1,2,1
10,5,Carl Edwards Jr.,Washington Nationals,Pittsburgh Pirates,1,0.2,1,1,1,1,0,1
11,6,Thaddeus Ward,Washington Nationals,Pittsburgh Pirates,1,1.0,1,1,1,3,2,0
12,7,Anthony Banda,Washington Nationals,Pittsburgh Pirates,1,0.0,1,1,1,1,0,0
13,8,Erasmo Ramírez,Washington Nationals,Pittsburgh Pirates,1,1.0,0,0,0,0,0,0
14,9,Jordan Weems,Washington Nationals,Pittsburgh Pirates,1,1.0,0,0,0,1,2,0
15,0,Brad Keller,Kansas City Royals,Minnesota Twins,0,5.1,6,1,1,5,4,0
16,1,Jose Cuas,Kansas City Royals,Minnesota Twins,0,0.2,1,0,0,0,0,0
17,2,Taylor Clarke,Kansas City Royals,Minnesota Twins,0,1.0,1,1,1,0,0,1
18,3,Aroldis Chapman,Kansas City Royals,Minnesota Twins,0,1.0,0,0,0,0,2,0
19,4,Scott Barlow,Kansas City Royals,Minnesota Twins,0,1.0,2,0,0,0,1,0
20,5,Bailey Ober,Minnesota Twins,Kansas City Royals,1,5.2,4,1,1,2,6,0
21,6,Caleb Thielbar,Minnesota Twins,Kansas City Royals,1,1.1,1,0,0,0,0,0
22,7,Griffin Jax,Minnesota Twins,Kansas City Royals,1,0.2,0,1,1,1,0,0
23,8,Jorge López,Minnesota Twins,Kansas City Royals,1,0.1,1,0,0,1,0,0
24,9,Jhoan Duran,Minnesota Twins,Kansas City Royals,1,1.0,0,1,1,3,1,0
25,0,Easton McGee,Seattle Mariners,Toronto Blue Jays,0,6.2,1,0,0,1,2,0
26,1,Matt Brash,Seattle Mariners,Toronto Blue Jays,0,0.1,0,0,0,0,1,0
27,2,Justin Topa,Seattle Mariners,Toronto Blue Jays,0,1.0,0,0,0,0,2,0
28,3,Paul Sewald,Seattle Mariners,Toronto Blue Jays,0,1.0,0,0,0,0,2,0
29,4,Trevor Gott,Seattle Mariners,Toronto Blue Jays,0,0.0,2,1,0,1,0,0
30,5,Kevin Gausman,Toronto Blue Jays,Seattle Mariners,1,7.0,6,0,0,1,13,0
31,6,Zach Pop,Toronto Blue Jays,Seattle Mariners,1,1.0,0,0,0,0,1,0
32,7,Jordan Romano,Toronto Blue Jays,Seattle Mariners,1,1.0,0,0,0,0,2,0
33,8,Erik Swanson,Toronto Blue Jays,Seattle Mariners,1,1.0,0,0,0,1,3,0
34,0,Caleb Kilian,Chicago Cubs,Miami Marlins,0,3.1,10,7,7,2,4,0
35,1,Jeremiah Estrada,Chicago Cubs,Miami Marlins,0,1.2,2,0,0,1,2,0
36,2,Julian Merryweather,Chicago Cubs,Miami Marlins,0,2.0,0,0,0,1,3,0
37,3,Adbert Alzolay,Chicago Cubs,Miami Marlins,0,1.0,0,0,0,0,2,0
38,4,Edward Cabrera,Miami Marlins,Chicago Cubs,1,5.0,3,2,2,5,12,1
39,5,Andrew Nardi,Miami Marlins,Chicago Cubs,1,0.0,4,2,2,0,0,1
40,6,Huascar Brazoban,Miami Marlins,Chicago Cubs,1,2.0,0,0,0,0,2,0
41,7,Steven Okert,Miami Marlins,Chicago Cubs,1,0.1,0,2,2,3,0,0
42,8,Matt Barnes,Miami Marlins,Chicago Cubs,1,0.2,1,0,0,0,0,0
43,9,Tanner Scott,Miami Marlins,Chicago Cubs,1,1.0,1,0,0,0,2,0
44,0,Hunter Greene,Cincinnati Reds,Oakland Athletics,0,5.0,5,2,0,3,10,0
45,1,Alex Young,Cincinnati Reds,Oakland Athletics,0,1.1,1,0,0,0,2,0
46,2,Ian Gibaut,Cincinnati Reds,Oakland Athletics,0,0.2,1,0,0,1,1,0
47,3,Casey Legumina,Cincinnati Reds,Oakland Athletics,0,1.0,0,0,0,1,1,0
48,4,Alexis Díaz,Cincinnati Reds,Oakland Athletics,0,1.0,0,0,0,0,3,0
49,5,Kyle Muller,Oakland Athletics,Cincinnati Reds,1,5.0,5,1,1,2,3,1
50,6,Domingo Acevedo,Oakland Athletics,Cincinnati Reds,1,1.0,0,0,0,0,1,0
51,7,Richard Lovelady,Oakland Athletics,Cincinnati Reds,1,1.0,1,0,0,1,0,0
52,8,Zach Jackson,Oakland Athletics,Cincinnati Reds,1,1.0,1,0,0,0,0,0
53,9,Jeurys Familia,Oakland Athletics,Cincinnati Reds,1,1.0,2,2,2,2,2,0
54,0,Zach Plesac,Cleveland Guardians,Boston Red Sox,0,3.1,8,5,5,1,1,1
55,1,Xzavion Curry,Cleveland Guardians,Boston Red Sox,0,2.2,4,1,0,0,1,0
56,2,Enyel De Los Santos,Cleveland Guardians,Boston Red Sox,0,1.0,0,0,0,0,1,0
57,3,James Karinchak,Cleveland Guardians,Boston Red Sox,0,1.0,0,0,0,1,1,0
58,4,Eli Morgan,Cleveland Guardians,Boston Red Sox,0,1.0,2,0,0,1,0,0
59,5,Emmanuel Clase,Cleveland Guardians,Boston Red Sox,0,0.1,2,2,0,0,0,0
60,6,Brayan Bello,Boston Red Sox,Cleveland Guardians,1,5.0,5,1,1,2,6,1
61,7,Richard Bleier,Boston Red Sox,Cleveland Guardians,1,1.0,2,1,1,0,0,1
62,8,Ryan Brasier,Boston Red Sox,Cleveland Guardians,1,0.2,1,3,3,2,1,0
63,9,John Schreiber,Boston Red Sox,Cleveland Guardians,1,0.1,1,0,0,0,0,0
64,10,Josh Winckowski,Boston Red Sox,Cleveland Guardians,1,1.0,0,0,0,0,0,0
65,11,Kenley Jansen,Boston Red Sox,Cleveland Guardians,1,1.0,3,1,1,0,1,0
66,12,Brennan Bernardino,Boston Red Sox,Cleveland Guardians,1,1.0,2,1,0,0,2,0
67,0,Grayson Rodriguez,Baltimore Orioles,Detroit Tigers,0,5.0,2,0,0,1,9,0
68,1,Keegan Akin,Baltimore Orioles,Detroit Tigers,0,0.0,1,3,2,1,0,0
69,2,Mike Baumann,Baltimore Orioles,Detroit Tigers,0,1.0,1,1,1,0,1,1
70,3,Bryan Baker,Baltimore Orioles,Detroit Tigers,0,0.2,1,0,0,0,1,0
71,4,Danny Coulombe,Baltimore Orioles,Detroit Tigers,0,0.1,0,0,0,0,0,0
72,5,Yennier Cano,Baltimore Orioles,Detroit Tigers,0,1.0,0,0,0,0,0,0
73,6,Félix Bautista,Baltimore Orioles,Detroit Tigers,0,1.0,0,0,0,0,1,0
74,7,Matthew Boyd,Detroit Tigers,Baltimore Orioles,1,5.2,8,6,6,1,3,1
75,8,José Cisnero,Detroit Tigers,Baltimore Orioles,1,1.1,0,0,0,2,1,0
76,9,Jason Foley,Detroit Tigers,Baltimore Orioles,1,1.0,1,0,0,0,0,0
77,10,Will Vest,Detroit Tigers,Baltimore Orioles,1,1.0,2,0,0,0,1,0
78,0,Zack Wheeler,Philadelphia Phillies,Houston Astros,0,6.0,3,0,0,1,7,0
79,1,Seranthony Domínguez,Philadelphia Phillies,Houston Astros,0,1.0,1,0,0,0,2,0
80,2,Andrew Vasquez,Philadelphia Phillies,Houston Astros,0,1.0,1,1,1,0,1,1
81,3,Yunior Marte,Philadelphia Phillies,Houston Astros,0,1.0,1,0,0,0,1,0
