,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Joey Wentz,Detroit Tigers,Minnesota Twins,0,6.0,2,2,2,1,9,0
1,Tyler Alexander,Detroit Tigers,Minnesota Twins,0,2.0,1,0,0,2,2,0
2,José De León,Minnesota Twins,Detroit Tigers,1,2.0,0,0,0,0,2,0
3,Emilio Pagán,Minnesota Twins,Detroit Tigers,1,1.2,0,0,0,0,0,0
4,Brent Headrick,Minnesota Twins,Detroit Tigers,1,2.1,1,0,0,1,2,0
5,Brock Stewart,Minnesota Twins,Detroit Tigers,1,1.0,0,0,0,0,0,0
6,Griffin Jax,Minnesota Twins,Detroit Tigers,1,1.0,1,0,0,0,0,0
7,Jhoan Duran,Minnesota Twins,Detroit Tigers,1,1.0,1,0,0,0,1,0
0,Kyle Gibson,Baltimore Orioles,Chicago Cubs,0,6.0,3,3,3,2,7,0
1,Bryan Baker,Baltimore Orioles,Chicago Cubs,0,1.0,0,0,0,0,2,0
2,Danny Coulombe,Baltimore Orioles,Chicago Cubs,0,1.0,1,0,0,0,0,0
3,Justin Steele,Chicago Cubs,Baltimore Orioles,1,5.0,5,2,2,1,4,1
4,Julian Merryweather,Chicago Cubs,Baltimore Orioles,1,1.0,1,0,0,1,1,0
5,Mark Leiter Jr.,Chicago Cubs,Baltimore Orioles,1,2.0,1,0,0,1,2,0
6,Adbert Alzolay,Chicago Cubs,Baltimore Orioles,1,1.0,0,0,0,1,2,0
0,Trevor Richards,Toronto Blue Jays,Texas Rangers,0,3.0,3,3,3,1,2,2
1,Bowden Francis,Toronto Blue Jays,Texas Rangers,0,2.2,1,0,0,3,2,0
2,Yimi García,Toronto Blue Jays,Texas Rangers,0,0.2,4,1,1,0,1,1
3,Adam Cimber,Toronto Blue Jays,Texas Rangers,0,1.2,0,0,0,0,1,0
4,Dane Dunning,Texas Rangers,Toronto Blue Jays,1,6.0,6,2,2,1,3,1
5,Josh Sborz,Texas Rangers,Toronto Blue Jays,1,2.0,1,0,0,0,0,0
6,Will Smith,Texas Rangers,Toronto Blue Jays,1,1.0,2,0,0,0,1,0
0,Braxton Garrett,Miami Marlins,Washington Nationals,0,6.0,4,1,1,1,8,0
1,Steven Okert,Miami Marlins,Washington Nationals,0,0.2,1,0,0,0,0,0
2,Dylan Floro,Miami Marlins,Washington Nationals,0,0.1,1,0,0,0,0,0
3,Tanner Scott,Miami Marlins,Washington Nationals,0,1.0,2,1,1,0,1,0
4,A.J. Puk,Miami Marlins,Washington Nationals,0,1.0,0,0,0,1,0,0
5,Jake Irvin,Washington Nationals,Miami Marlins,1,5.0,4,1,1,2,4,0
6,Jordan Weems,Washington Nationals,Miami Marlins,1,1.0,0,0,0,0,0,0
7,Chad Kuhl,Washington Nationals,Miami Marlins,1,1.0,1,2,2,3,2,0
