,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Griffin Canning,Los Angeles Angels,New York Mets,0,7.0,5,1,1,1,9,0
1,Matt Moore,Los Angeles Angels,New York Mets,0,1.0,2,1,1,0,2,0
2,Reynaldo López,Los Angeles Angels,New York Mets,0,0.0,2,1,1,1,0,0
3,David Peterson,New York Mets,Los Angeles Angels,1,7.0,3,1,1,3,8,0
4,Drew Smith,New York Mets,Los Angeles Angels,1,1.0,1,1,1,0,2,1
5,Adam Ottavino,New York Mets,Los Angeles Angels,1,1.0,0,0,0,0,1,0
0,Ty Blach,Colorado Rockies,Baltimore Orioles,0,7.0,3,1,1,1,7,1
1,Jake Bird,Colorado Rockies,Baltimore Orioles,0,0.2,2,2,2,1,0,1
2,Justin Lawrence,Colorado Rockies,Baltimore Orioles,0,1.1,0,0,0,0,2,0
3,Jack Flaherty,Baltimore Orioles,Colorado Rockies,1,5.2,7,3,3,1,3,1
4,Austin Voth,Baltimore Orioles,Colorado Rockies,1,2.0,1,0,0,0,1,0
5,Cionel Pérez,Baltimore Orioles,Colorado Rockies,1,0.1,0,0,0,0,1,0
6,Yennier Cano,Baltimore Orioles,Colorado Rockies,1,1.0,1,1,0,0,1,0
0,Caleb Ferguson,Los Angeles Dodgers,Boston Red Sox,0,1.0,1,0,0,1,0,0
1,Gavin Stone,Los Angeles Dodgers,Boston Red Sox,0,6.0,5,4,4,0,2,3
2,Ryan Brasier,Los Angeles Dodgers,Boston Red Sox,0,1.0,0,0,0,0,2,0
3,Evan Phillips,Los Angeles Dodgers,Boston Red Sox,0,1.0,1,0,0,0,1,0
4,Tanner Houck,Boston Red Sox,Los Angeles Dodgers,1,4.0,5,1,1,2,4,1
5,Chris Murphy,Boston Red Sox,Los Angeles Dodgers,1,4.0,9,6,6,0,4,1
6,Mauricio Llovera,Boston Red Sox,Los Angeles Dodgers,1,1.0,0,0,0,0,1,0
0,Drew Rom,St. Louis Cardinals,Philadelphia Phillies,0,5.1,5,2,2,1,6,1
1,Jacob Barnes,St. Louis Cardinals,Philadelphia Phillies,0,0.2,3,1,1,0,0,0
2,John King,St. Louis Cardinals,Philadelphia Phillies,0,0.2,2,0,0,0,0,0
3,James Naile,St. Louis Cardinals,Philadelphia Phillies,0,1.1,1,0,0,0,0,0
4,Aaron Nola,Philadelphia Phillies,St. Louis Cardinals,1,7.0,1,0,0,1,9,0
5,José Alvarado,Philadelphia Phillies,St. Louis Cardinals,1,1.0,0,0,0,1,2,0
6,Craig Kimbrel,Philadelphia Phillies,St. Louis Cardinals,1,1.0,1,0,0,1,1,0
0,Javier Assad,Chicago Cubs,Pittsburgh Pirates,0,7.0,3,1,1,2,7,0
1,Keegan Thompson,Chicago Cubs,Pittsburgh Pirates,0,2.0,1,0,0,0,5,0
2,Bailey Falter,Pittsburgh Pirates,Chicago Cubs,1,4.2,7,6,6,1,3,1
3,Cody Bolton,Pittsburgh Pirates,Chicago Cubs,1,2.1,1,0,0,1,4,0
4,Jose Hernandez,Pittsburgh Pirates,Chicago Cubs,1,2.0,4,4,4,1,2,0
0,Noah Syndergaard,Cleveland Guardians,Toronto Blue Jays,0,6.0,4,5,5,3,3,3
1,Nick Sandlin,Cleveland Guardians,Toronto Blue Jays,0,1.0,0,0,0,1,1,0
2,Trevor Stephan,Cleveland Guardians,Toronto Blue Jays,0,1.0,2,1,1,0,0,0
3,Sam Hentges,Cleveland Guardians,Toronto Blue Jays,0,1.1,1,0,0,0,1,0
4,Emmanuel Clase,Cleveland Guardians,Toronto Blue Jays,0,1.2,1,1,0,1,2,0
5,Yusei Kikuchi,Toronto Blue Jays,Cleveland Guardians,1,6.0,6,4,4,2,8,1
6,Génesis Cabrera,Toronto Blue Jays,Cleveland Guardians,1,0.2,1,0,0,0,0,0
7,Jordan Hicks,Toronto Blue Jays,Cleveland Guardians,1,0.1,1,0,0,0,0,0
8,Tim Mayza,Toronto Blue Jays,Cleveland Guardians,1,0.0,2,2,2,1,0,0
9,Jordan Romano,Toronto Blue Jays,Cleveland Guardians,1,1.2,1,0,0,2,2,0
10,Yimi García,Toronto Blue Jays,Cleveland Guardians,1,1.1,0,0,0,0,3,0
11,Jay Jackson,Toronto Blue Jays,Cleveland Guardians,1,1.0,2,4,3,1,1,1
0,Justin Verlander,Houston Astros,Detroit Tigers,0,5.0,2,0,0,2,7,0
1,Rafael Montero,Houston Astros,Detroit Tigers,0,1.0,0,0,0,0,1,0
2,Hector Neris,Houston Astros,Detroit Tigers,0,1.0,0,0,0,0,0,0
3,Phil Maton,Houston Astros,Detroit Tigers,0,1.0,2,3,3,1,3,1
4,Ryne Stanek,Houston Astros,Detroit Tigers,0,1.0,1,1,1,0,2,1
5,Alex Faedo,Detroit Tigers,Houston Astros,1,4.2,7,3,3,4,2,1
6,Will Vest,Detroit Tigers,Houston Astros,1,0.1,1,0,0,0,1,0
7,Tyler Holton,Detroit Tigers,Houston Astros,1,1.2,5,4,4,0,0,2
8,Jason Foley,Detroit Tigers,Houston Astros,1,0.1,0,0,0,0,1,0
9,Andrew Vasquez,Detroit Tigers,Houston Astros,1,0.1,4,6,5,1,0,0
10,Carson Kelly,Detroit Tigers,Houston Astros,1,0.2,4,1,1,0,1,1
11,Zack Short,Detroit Tigers,Houston Astros,1,1.0,4,3,3,1,0,0
0,Trevor Williams,Washington Nationals,Miami Marlins,0,7.0,5,2,2,2,5,1
1,Mason Thompson,Washington Nationals,Miami Marlins,0,1.0,1,0,0,0,0,0
2,JT Chargois,Miami Marlins,Washington Nationals,1,1.0,1,0,0,0,1,0
3,Bryan Hoeing,Miami Marlins,Washington Nationals,1,4.0,4,1,1,1,5,0
4,Steven Okert,Miami Marlins,Washington Nationals,1,1.0,0,0,0,0,0,0
5,A.J. Puk,Miami Marlins,Washington Nationals,1,1.0,0,0,0,1,2,0
6,Andrew Nardi,Miami Marlins,Washington Nationals,1,1.0,0,0,0,0,1,0
7,Tanner Scott,Miami Marlins,Washington Nationals,1,1.0,2,0,0,0,0,0
0,Carlos Rodón,New York Yankees,Tampa Bay Rays,0,4.2,4,2,2,2,7,1
1,Ian Hamilton,New York Yankees,Tampa Bay Rays,0,1.0,3,4,4,0,1,0
2,Wandy Peralta,New York Yankees,Tampa Bay Rays,0,0.1,1,0,0,0,0,0
3,Tommy Kahnle,New York Yankees,Tampa Bay Rays,0,1.0,1,0,0,1,2,0
