,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Reid Detmers,Los Angeles Angels,Boston Red Sox,0,6.1,6,2,2,1,7,1
1,1,Andrew Wantz,Los Angeles Angels,Boston Red Sox,0,1.2,1,0,0,0,0,0
2,2,Garrett Whitlock,Boston Red Sox,Los Angeles Angels,1,7.0,3,1,1,2,5,0
3,3,Kaleb Ort,Boston Red Sox,Los Angeles Angels,1,1.0,1,0,0,1,0,0
4,4,Ryan Brasier,Boston Red Sox,Los Angeles Angels,1,1.0,0,0,0,0,1,0
5,0,Pablo López,Minnesota Twins,New York Yankees,0,6.0,7,2,2,1,7,1
6,1,Griffin Jax,Minnesota Twins,New York Yankees,0,1.0,0,0,0,0,2,0
7,2,Emilio Pagán,Minnesota Twins,New York Yankees,0,1.0,0,0,0,1,1,0
8,3,Gerrit Cole,New York Yankees,Minnesota Twins,1,9.0,2,0,0,1,10,0
9,0,Shane Bieber,Cleveland Guardians,Washington Nationals,0,6.0,9,3,3,1,4,1
10,1,Tim Herrin,Cleveland Guardians,Washington Nationals,0,1.0,2,2,2,0,1,1
11,2,Nick Sandlin,Cleveland Guardians,Washington Nationals,0,0.2,1,2,2,1,0,0
12,3,Trevor Stephan,Cleveland Guardians,Washington Nationals,0,0.1,1,0,0,1,0,0
13,4,Patrick Corbin,Washington Nationals,Cleveland Guardians,1,6.0,5,4,2,0,4,0
14,5,Hobie Harris,Washington Nationals,Cleveland Guardians,1,1.0,2,2,2,1,0,0
15,6,Mason Thompson,Washington Nationals,Cleveland Guardians,1,1.0,1,0,0,0,0,0
16,7,Kyle Finnegan,Washington Nationals,Cleveland Guardians,1,1.0,1,0,0,0,1,0
17,0,Shane McClanahan,Tampa Bay Rays,Toronto Blue Jays,0,6.0,4,1,1,2,6,0
18,1,Colin Poche,Tampa Bay Rays,Toronto Blue Jays,0,1.0,0,0,0,0,0,0
19,2,Garrett Cleavinger,Tampa Bay Rays,Toronto Blue Jays,0,1.0,1,0,0,1,1,0
20,3,Jason Adam,Tampa Bay Rays,Toronto Blue Jays,0,1.0,1,0,0,1,0,0
