,Unnamed: 0,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,0,Miles Mikolas,St. Louis Cardinals,Pittsburgh Pirates,0,5.0,10,2,2,0,2,0
1,1,Génesis Cabrera,St. Louis Cardinals,Pittsburgh Pirates,0,1.2,0,0,0,0,0,0
2,2,Jordan Hicks,St. Louis Cardinals,Pittsburgh Pirates,0,1.1,0,0,0,1,3,0
3,3,Rich Hill,Pittsburgh Pirates,St. Louis Cardinals,1,6.2,4,1,1,3,6,1
4,4,Dauri Moreta,Pittsburgh Pirates,St. Louis Cardinals,1,0.1,0,0,0,0,1,0
5,5,Yohan Ramirez,Pittsburgh Pirates,St. Louis Cardinals,1,1.0,0,0,0,0,0,0
6,6,David Bednar,Pittsburgh Pirates,St. Louis Cardinals,1,1.0,1,0,0,0,1,0
7,0,Taj Bradley,Tampa Bay Rays,Boston Red Sox,0,5.0,6,2,2,3,6,0
8,1,Robert Stephenson,Tampa Bay Rays,Boston Red Sox,0,0.2,0,0,0,2,1,0
9,2,Jake Diekman,Tampa Bay Rays,Boston Red Sox,0,1.1,0,0,0,0,0,0
10,3,Shawn Armstrong,Tampa Bay Rays,Boston Red Sox,0,2.0,0,0,0,1,3,0
11,4,Tanner Houck,Boston Red Sox,Tampa Bay Rays,1,5.0,5,4,4,4,6,0
12,5,Corey Kluber,Boston Red Sox,Tampa Bay Rays,1,2.0,2,2,2,1,1,0
13,6,Kaleb Ort,Boston Red Sox,Tampa Bay Rays,1,2.0,0,0,0,0,3,0
14,0,Ranger Suárez,Philadelphia Phillies,Washington Nationals,0,7.0,8,1,1,1,3,0
15,1,Jeff Hoffman,Philadelphia Phillies,Washington Nationals,0,1.0,0,0,0,0,2,0
16,2,Connor Brogdon,Philadelphia Phillies,Washington Nationals,0,1.0,2,2,2,0,2,1
17,3,Trevor Williams,Washington Nationals,Philadelphia Phillies,1,5.2,6,4,4,4,6,2
18,4,Andrés Machado,Washington Nationals,Philadelphia Phillies,1,1.0,5,4,4,1,1,2
19,5,Mason Thompson,Washington Nationals,Philadelphia Phillies,1,1.1,1,0,0,1,0,0
20,6,Thaddeus Ward,Washington Nationals,Philadelphia Phillies,1,1.0,2,3,3,1,2,1
21,0,Adrian Houser,Milwaukee Brewers,Cincinnati Reds,0,7.0,6,1,1,0,2,1
22,1,Elvis Peguero,Milwaukee Brewers,Cincinnati Reds,0,1.0,0,0,0,0,1,0
23,2,Peter Strzelecki,Milwaukee Brewers,Cincinnati Reds,0,1.0,0,0,0,0,0,0
24,3,Ben Lively,Cincinnati Reds,Milwaukee Brewers,1,7.0,6,5,5,3,5,2
25,4,Fernando Cruz,Cincinnati Reds,Milwaukee Brewers,1,1.0,1,0,0,0,2,0
26,5,Ian Gibaut,Cincinnati Reds,Milwaukee Brewers,1,1.0,0,0,0,0,1,0
27,0,Paul Blackburn,Oakland Athletics,Miami Marlins,0,5.0,7,5,5,2,3,1
28,1,Ken Waldichuk,Oakland Athletics,Miami Marlins,0,1.2,2,0,0,1,0,0
29,2,Austin Pruitt,Oakland Athletics,Miami Marlins,0,0.2,2,2,1,0,1,0
30,3,Sam Moll,Oakland Athletics,Miami Marlins,0,0.2,1,0,0,0,2,0
31,4,Sandy Alcantara,Miami Marlins,Oakland Athletics,1,7.0,6,5,5,0,7,0
32,5,Tanner Scott,Miami Marlins,Oakland Athletics,1,1.0,0,0,0,1,0,0
33,6,Dylan Floro,Miami Marlins,Oakland Athletics,1,1.0,0,0,0,0,2,0
34,0,Yusei Kikuchi,Toronto Blue Jays,New York Mets,0,5.0,4,2,2,1,8,2
35,1,Nate Pearson,Toronto Blue Jays,New York Mets,0,1.0,2,2,2,0,1,2
36,2,Adam Cimber,Toronto Blue Jays,New York Mets,0,1.0,1,0,0,0,0,0
37,3,Erik Swanson,Toronto Blue Jays,New York Mets,0,1.0,0,0,0,0,1,0
38,4,Jordan Romano,Toronto Blue Jays,New York Mets,0,1.0,0,0,0,0,1,0
39,5,Kodai Senga,New York Mets,Toronto Blue Jays,1,2.2,4,4,3,5,3,1
40,6,Stephen Nogosek,New York Mets,Toronto Blue Jays,1,3.0,1,0,0,1,4,0
41,7,Dominic Leone,New York Mets,Toronto Blue Jays,1,1.1,2,2,2,0,0,1
42,8,Drew Smith,New York Mets,Toronto Blue Jays,1,1.0,0,0,0,0,2,0
43,9,Jeff Brigham,New York Mets,Toronto Blue Jays,1,1.0,0,0,0,0,2,0
44,0,Matthew Boyd,Detroit Tigers,Chicago White Sox,0,5.0,3,1,1,0,9,0
45,1,Will Vest,Detroit Tigers,Chicago White Sox,0,1.0,3,1,1,1,1,0
46,2,Tyler Holton,Detroit Tigers,Chicago White Sox,0,0.2,1,0,0,1,2,0
47,3,Jason Foley,Detroit Tigers,Chicago White Sox,0,1.1,0,0,0,0,1,0
48,4,Alex Lange,Detroit Tigers,Chicago White Sox,0,0.1,2,4,4,2,1,1
49,5,Michael Kopech,Chicago White Sox,Detroit Tigers,1,7.0,3,2,2,1,9,1
50,6,Joe Kelly,Chicago White Sox,Detroit Tigers,1,1.0,1,0,0,0,1,0
51,7,Liam Hendriks,Chicago White Sox,Detroit Tigers,1,1.0,0,0,0,0,2,0
52,0,Griffin Canning,Los Angeles Angels,Houston Astros,0,6.0,4,1,1,1,4,1
53,1,Chris Devenski,Los Angeles Angels,Houston Astros,0,1.2,1,0,0,0,2,0
54,2,Carlos Estévez,Los Angeles Angels,Houston Astros,0,1.1,0,0,0,1,0,0
55,3,J.P. France,Houston Astros,Los Angeles Angels,1,7.0,3,1,1,1,3,1
56,4,Phil Maton,Houston Astros,Los Angeles Angels,1,1.0,2,1,1,0,1,0
57,5,Bryan Abreu,Houston Astros,Los Angeles Angels,1,1.0,1,0,0,0,1,0
58,0,Kyle Freeland,Colorado Rockies,Kansas City Royals,0,7.0,4,2,2,0,1,1
59,1,Brent Suter,Colorado Rockies,Kansas City Royals,0,1.0,0,0,0,0,1,0
60,2,Brady Singer,Kansas City Royals,Colorado Rockies,1,5.2,5,0,0,0,7,0
61,3,Taylor Clarke,Kansas City Royals,Colorado Rockies,1,1.1,1,0,0,0,2,0
62,4,Aroldis Chapman,Kansas City Royals,Colorado Rockies,1,1.0,0,0,0,0,2,0
63,5,Scott Barlow,Kansas City Royals,Colorado Rockies,1,1.0,2,0,0,0,3,0
64,0,Triston McKenzie,Cleveland Guardians,Minnesota Twins,0,5.0,1,0,0,1,10,0
65,1,James Karinchak,Cleveland Guardians,Minnesota Twins,0,1.0,1,0,0,0,2,0
66,2,Trevor Stephan,Cleveland Guardians,Minnesota Twins,0,1.0,0,0,0,0,2,0
67,3,Enyel De Los Santos,Cleveland Guardians,Minnesota Twins,0,1.0,2,1,1,0,0,1
68,4,Emmanuel Clase,Cleveland Guardians,Minnesota Twins,0,1.0,1,0,0,1,2,0
69,5,Joe Ryan,Minnesota Twins,Cleveland Guardians,1,6.2,2,2,2,1,4,0
70,6,Caleb Thielbar,Minnesota Twins,Cleveland Guardians,1,0.1,1,0,0,0,0,0
71,7,José De León,Minnesota Twins,Cleveland Guardians,1,1.0,0,0,0,1,1,0
72,8,Griffin Jax,Minnesota Twins,Cleveland Guardians,1,1.0,0,0,0,0,1,0
73,0,Bryce Miller,Seattle Mariners,Texas Rangers,0,2.1,8,7,7,2,2,1
74,1,Gabe Speier,Seattle Mariners,Texas Rangers,0,1.1,1,0,0,0,1,0
75,2,Matt Brash,Seattle Mariners,Texas Rangers,0,1.1,0,0,0,0,2,0
76,3,Trevor Gott,Seattle Mariners,Texas Rangers,0,1.0,4,5,5,1,1,1
77,4,Matt Festa,Seattle Mariners,Texas Rangers,0,1.0,0,0,0,2,1,0
78,5,Justin Topa,Seattle Mariners,Texas Rangers,0,1.0,2,0,0,0,1,0
79,6,Nathan Eovaldi,Texas Rangers,Seattle Mariners,1,6.0,1,0,0,0,7,0
80,7,Jonathan Hernández,Texas Rangers,Seattle Mariners,1,0.2,3,3,3,1,2,0
81,8,Brock Burke,Texas Rangers,Seattle Mariners,1,1.1,2,0,0,0,2,0
82,9,John King,Texas Rangers,Seattle Mariners,1,1.0,2,0,0,0,0,0
83,0,Tyler Wells,Baltimore Orioles,San Francisco Giants,0,5.1,4,2,2,2,9,1
84,1,Mike Baumann,Baltimore Orioles,San Francisco Giants,0,1.2,0,1,1,1,1,0
85,2,Yennier Cano,Baltimore Orioles,San Francisco Giants,0,1.0,1,0,0,0,0,0
86,3,Austin Voth,Baltimore Orioles,San Francisco Giants,0,1.0,0,0,0,0,1,0
87,4,Anthony DeSclafani,San Francisco Giants,Baltimore Orioles,1,3.0,5,6,5,3,2,0
88,5,Jakob Junis,San Francisco Giants,Baltimore Orioles,1,3.0,3,1,1,0,3,1
89,6,Ryan Walker,San Francisco Giants,Baltimore Orioles,1,1.0,0,0,0,0,2,0
90,7,Taylor Rogers,San Francisco Giants,Baltimore Orioles,1,1.0,1,0,0,0,2,0
91,8,Luke Jackson,San Francisco Giants,Baltimore Orioles,1,1.0,1,1,0,0,0,0
92,0,Michael Soroka,Atlanta Braves,Arizona Diamondbacks,0,3.2,7,5,5,4,2,2
93,1,Collin McHugh,Atlanta Braves,Arizona Diamondbacks,0,1.1,1,0,0,0,2,0
94,2,AJ Smith-Shawver,Atlanta Braves,Arizona Diamondbacks,0,2.1,0,0,0,1,3,0
95,3,A.J. Minter,Atlanta Braves,Arizona Diamondbacks,0,0.2,0,0,0,0,1,0
96,4,Raisel Iglesias,Atlanta Braves,Arizona Diamondbacks,0,1.0,0,0,0,1,0,0
97,5,Zac Gallen,Arizona Diamondbacks,Atlanta Braves,1,6.0,9,3,2,1,6,1
98,6,Andrew Chafin,Arizona Diamondbacks,Atlanta Braves,1,1.0,2,1,1,1,2,0
99,7,Scott McGough,Arizona Diamondbacks,Atlanta Braves,1,1.0,0,0,0,0,1,0
100,8,Miguel Castro,Arizona Diamondbacks,Atlanta Braves,1,0.2,2,4,4,2,1,1
101,9,Austin Adams,Arizona Diamondbacks,Atlanta Braves,1,0.1,1,0,0,0,0,0
102,0,Marcus Stroman,Chicago Cubs,San Diego Padres,0,6.0,4,1,0,3,6,0
103,1,Julian Merryweather,Chicago Cubs,San Diego Padres,0,1.0,1,0,0,0,1,0
104,2,Michael Fulmer,Chicago Cubs,San Diego Padres,0,1.0,0,0,0,1,1,0
105,3,Brandon Hughes,Chicago Cubs,San Diego Padres,0,1.0,0,0,0,0,1,0
106,4,Ryan Weathers,San Diego Padres,Chicago Cubs,1,1.2,7,5,4,1,1,2
107,5,Drew Carlton,San Diego Padres,Chicago Cubs,1,3.1,3,2,2,1,4,1
108,6,Domingo Tapia,San Diego Padres,Chicago Cubs,1,3.0,1,0,0,1,2,0
109,7,Tom Cosgrove,San Diego Padres,Chicago Cubs,1,1.0,0,0,0,0,1,0
110,0,Domingo Germán,New York Yankees,Los Angeles Dodgers,0,6.2,4,1,1,1,6,1
111,1,Clay Holmes,New York Yankees,Los Angeles Dodgers,0,1.0,0,0,0,1,2,0
112,2,Wandy Peralta,New York Yankees,Los Angeles Dodgers,0,1.1,0,0,0,1,0,0
113,3,Bobby Miller,Los Angeles Dodgers,New York Yankees,1,6.0,1,0,0,2,7,0
114,4,Brusdar Graterol,Los Angeles Dodgers,New York Yankees,1,1.0,2,1,0,0,2,0
115,5,Evan Phillips,Los Angeles Dodgers,New York Yankees,1,1.0,1,1,1,1,0,0
116,6,Caleb Ferguson,Los Angeles Dodgers,New York Yankees,1,1.0,1,2,2,1,1,1
