,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,George Kirby,Seattle Mariners,Kansas City Royals,0,6.0,8,4,4,0,2,1
1,Isaiah Campbell,Seattle Mariners,Kansas City Royals,0,1.0,1,0,0,0,1,0
2,Trent Thornton,Seattle Mariners,Kansas City Royals,0,1.0,0,0,0,0,0,0
3,Matt Brash,Seattle Mariners,Kansas City Royals,0,1.0,0,0,0,0,1,0
4,Angel Zerpa,Kansas City Royals,Seattle Mariners,1,4.0,5,1,1,2,6,0
5,Max Castillo,Kansas City Royals,Seattle Mariners,1,1.2,2,1,1,2,0,0
6,Jackson Kowar,Kansas City Royals,Seattle Mariners,1,1.1,1,0,0,1,3,0
7,Taylor Hearn,Kansas City Royals,Seattle Mariners,1,0.1,1,2,2,1,1,0
8,Carlos Hernández,Kansas City Royals,Seattle Mariners,1,0.2,1,1,1,0,0,1
9,John McMillon,Kansas City Royals,Seattle Mariners,1,1.0,1,1,1,0,2,1
0,Chris Sale,Boston Red Sox,Washington Nationals,0,4.1,2,3,2,3,3,0
1,Josh Winckowski,Boston Red Sox,Washington Nationals,0,0.2,4,3,3,0,0,0
2,Chris Murphy,Boston Red Sox,Washington Nationals,0,1.0,3,3,3,1,1,0
3,Mauricio Llovera,Boston Red Sox,Washington Nationals,0,2.0,1,1,1,1,2,0
4,Patrick Corbin,Washington Nationals,Boston Red Sox,1,6.0,4,1,1,0,6,1
5,Robert Garcia,Washington Nationals,Boston Red Sox,1,0.2,4,6,6,2,2,2
6,Andrés Machado,Washington Nationals,Boston Red Sox,1,0.1,0,0,0,0,1,0
7,Hunter Harvey,Washington Nationals,Boston Red Sox,1,1.0,1,0,0,0,1,0
8,Kyle Finnegan,Washington Nationals,Boston Red Sox,1,1.0,2,0,0,0,1,0
0,José Quintana,New York Mets,St. Louis Cardinals,0,6.0,3,2,2,4,5,1
1,Drew Smith,New York Mets,St. Louis Cardinals,0,1.0,0,0,0,1,0,0
2,Grant Hartwig,New York Mets,St. Louis Cardinals,0,1.0,0,0,0,0,1,0
3,Trevor Gott,New York Mets,St. Louis Cardinals,0,1.0,2,0,0,0,1,0
4,Adam Wainwright,St. Louis Cardinals,New York Mets,1,6.0,4,3,3,3,2,1
5,Andre Pallante,St. Louis Cardinals,New York Mets,1,1.1,1,0,0,0,2,0
6,Drew VerHagen,St. Louis Cardinals,New York Mets,1,0.2,1,0,0,0,0,0
7,John King,St. Louis Cardinals,New York Mets,1,1.0,1,1,1,0,0,1
0,Zac Gallen,Arizona Diamondbacks,San Diego Padres,0,6.1,3,1,1,1,3,0
1,Kyle Nelson,Arizona Diamondbacks,San Diego Padres,0,1.1,0,0,0,0,3,0
2,Justin Martinez,Arizona Diamondbacks,San Diego Padres,0,1.1,0,0,0,2,3,0
3,Rich Hill,San Diego Padres,Arizona Diamondbacks,1,5.0,2,3,3,1,3,2
4,Pedro Avila,San Diego Padres,Arizona Diamondbacks,1,4.0,1,0,0,1,4,0
0,Corbin Burnes,Milwaukee Brewers,Los Angeles Dodgers,0,7.0,2,0,0,2,9,0
1,Joel Payamps,Milwaukee Brewers,Los Angeles Dodgers,0,1.0,2,1,1,0,1,1
2,Lance Lynn,Los Angeles Dodgers,Milwaukee Brewers,1,7.0,4,0,0,1,3,0
3,Caleb Ferguson,Los Angeles Dodgers,Milwaukee Brewers,1,1.0,1,0,0,0,0,0
4,Evan Phillips,Los Angeles Dodgers,Milwaukee Brewers,1,1.0,0,0,0,1,2,0
