,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Josiah Gray,Washington Nationals,Philadelphia Phillies,0,4.2,6,4,4,2,5,1
1,Jose Ferrer,Washington Nationals,Philadelphia Phillies,0,1.0,2,0,0,1,0,0
2,Andrés Machado,Washington Nationals,Philadelphia Phillies,0,1.1,0,0,0,1,2,0
3,Jordan Weems,Washington Nationals,Philadelphia Phillies,0,1.0,0,0,0,0,2,0
4,Kyle Finnegan,Washington Nationals,Philadelphia Phillies,0,1.0,0,0,0,0,2,0
5,Ranger Suárez,Philadelphia Phillies,Washington Nationals,1,5.2,6,2,2,2,5,1
6,Jeff Hoffman,Philadelphia Phillies,Washington Nationals,1,1.0,1,2,2,1,1,1
7,Seranthony Domínguez,Philadelphia Phillies,Washington Nationals,1,0.1,0,0,0,1,0,0
8,Gregory Soto,Philadelphia Phillies,Washington Nationals,1,1.0,0,0,0,0,1,0
9,Craig Kimbrel,Philadelphia Phillies,Washington Nationals,1,1.0,1,1,1,0,2,1
0,Trevor Williams,Washington Nationals,Philadelphia Phillies,0,4.2,8,6,6,1,7,3
1,Amos Willingham,Washington Nationals,Philadelphia Phillies,0,1.1,2,2,2,1,1,1
2,Joe La Sorsa,Washington Nationals,Philadelphia Phillies,0,2.0,0,0,0,0,3,0
3,Zack Wheeler,Philadelphia Phillies,Washington Nationals,1,6.0,7,3,3,0,6,2
4,Matt Strahm,Philadelphia Phillies,Washington Nationals,1,1.0,0,0,0,0,0,0
5,Luis Ortiz,Philadelphia Phillies,Washington Nationals,1,2.0,4,1,1,0,1,0
0,Braxton Garrett,Miami Marlins,Cincinnati Reds,0,6.0,6,2,2,0,3,0
1,Andrew Nardi,Miami Marlins,Cincinnati Reds,0,1.0,0,0,0,0,1,0
2,Tanner Scott,Miami Marlins,Cincinnati Reds,0,1.0,0,0,0,0,2,0
3,David Robertson,Miami Marlins,Cincinnati Reds,0,1.0,0,0,0,1,2,0
4,Luke Weaver,Cincinnati Reds,Miami Marlins,1,4.1,5,1,1,1,6,0
5,Sam Moll,Cincinnati Reds,Miami Marlins,1,1.1,1,0,0,0,0,0
6,Buck Farmer,Cincinnati Reds,Miami Marlins,1,1.0,0,1,1,0,1,0
7,Lucas Sims,Cincinnati Reds,Miami Marlins,1,0.1,1,1,1,0,0,1
8,Fernando Cruz,Cincinnati Reds,Miami Marlins,1,1.0,0,0,0,0,3,0
9,Derek Law,Cincinnati Reds,Miami Marlins,1,1.0,0,0,0,0,0,0
0,Sonny Gray,Minnesota Twins,Detroit Tigers,0,6.0,7,3,2,0,10,0
1,Josh Winder,Minnesota Twins,Detroit Tigers,0,2.0,4,3,3,1,3,1
2,Eduardo Rodriguez,Detroit Tigers,Minnesota Twins,1,7.0,4,0,0,3,5,0
3,José Cisnero,Detroit Tigers,Minnesota Twins,1,1.0,1,0,0,0,2,0
4,Jason Foley,Detroit Tigers,Minnesota Twins,1,1.0,1,0,0,0,1,0
0,Miles Mikolas,St. Louis Cardinals,Tampa Bay Rays,0,7.0,8,2,2,0,5,1
1,Andre Pallante,St. Louis Cardinals,Tampa Bay Rays,0,0.1,4,2,2,0,0,0
2,Drew VerHagen,St. Louis Cardinals,Tampa Bay Rays,0,0.2,0,0,0,1,1,0
3,Zach Eflin,Tampa Bay Rays,St. Louis Cardinals,1,7.0,4,1,1,0,8,1
4,Jason Adam,Tampa Bay Rays,St. Louis Cardinals,1,1.0,0,0,0,2,1,0
5,Pete Fairbanks,Tampa Bay Rays,St. Louis Cardinals,1,1.0,1,1,1,0,1,1
0,Framber Valdez,Houston Astros,Baltimore Orioles,0,7.0,8,6,6,2,3,2
1,Ryne Stanek,Houston Astros,Baltimore Orioles,0,1.0,0,0,0,0,1,0
2,Ryan Pressly,Houston Astros,Baltimore Orioles,0,1.0,0,0,0,0,1,0
3,Grayson Rodriguez,Baltimore Orioles,Houston Astros,1,6.0,6,2,2,2,4,0
4,Mike Baumann,Baltimore Orioles,Houston Astros,1,1.0,0,1,1,1,1,0
5,Yennier Cano,Baltimore Orioles,Houston Astros,1,1.0,1,0,0,0,1,0
6,Félix Bautista,Baltimore Orioles,Houston Astros,1,0.2,3,4,4,1,2,1
7,Joey Krehbiel,Baltimore Orioles,Houston Astros,1,0.1,0,0,0,0,0,0
0,Yonny Chirinos,Atlanta Braves,Pittsburgh Pirates,0,5.0,7,6,6,2,5,4
1,Joe Jiménez,Atlanta Braves,Pittsburgh Pirates,0,1.0,1,0,0,0,2,0
2,Brad Hand,Atlanta Braves,Pittsburgh Pirates,0,1.0,0,0,0,0,1,0
3,Kirby Yates,Atlanta Braves,Pittsburgh Pirates,0,1.0,0,0,0,1,2,0
4,Raisel Iglesias,Atlanta Braves,Pittsburgh Pirates,0,1.0,1,0,0,1,1,0
5,Mitch Keller,Pittsburgh Pirates,Atlanta Braves,1,5.0,9,3,3,0,4,1
6,Ryan Borucki,Pittsburgh Pirates,Atlanta Braves,1,0.1,2,2,2,0,0,1
7,Colin Holderman,Pittsburgh Pirates,Atlanta Braves,1,0.2,0,0,0,2,1,0
8,Andre Jackson,Pittsburgh Pirates,Atlanta Braves,1,2.0,0,0,0,0,4,0
9,David Bednar,Pittsburgh Pirates,Atlanta Braves,1,1.0,3,3,3,2,1,0
0,Brady Singer,Kansas City Royals,Boston Red Sox,0,6.2,5,3,3,2,4,1
1,Angel Zerpa,Kansas City Royals,Boston Red Sox,0,0.1,1,0,0,0,0,0
2,Tucker Davidson,Kansas City Royals,Boston Red Sox,0,1.0,0,0,0,0,2,0
3,Dylan Coleman,Kansas City Royals,Boston Red Sox,0,1.0,0,0,0,0,2,0
4,Kutter Crawford,Boston Red Sox,Kansas City Royals,1,3.1,7,3,3,2,6,1
5,Brennan Bernardino,Boston Red Sox,Kansas City Royals,1,0.2,0,0,0,1,0,0
6,Dinelson Lamet,Boston Red Sox,Kansas City Royals,1,2.0,4,3,3,1,1,1
7,Nick Robertson,Boston Red Sox,Kansas City Royals,1,3.0,4,3,3,0,2,1
0,Yusei Kikuchi,Toronto Blue Jays,Cleveland Guardians,0,7.0,3,1,1,1,6,0
1,Génesis Cabrera,Toronto Blue Jays,Cleveland Guardians,0,1.0,0,0,0,0,1,0
2,Tanner Bibee,Cleveland Guardians,Toronto Blue Jays,1,7.0,6,0,0,0,6,0
3,Trevor Stephan,Cleveland Guardians,Toronto Blue Jays,1,1.0,1,0,0,0,1,0
4,Emmanuel Clase,Cleveland Guardians,Toronto Blue Jays,1,1.0,2,0,0,0,1,0
0,Jameson Taillon,Chicago Cubs,New York Mets,0,7.0,3,2,2,0,7,1
1,Julian Merryweather,Chicago Cubs,New York Mets,0,1.0,2,0,0,0,0,0
2,Adbert Alzolay,Chicago Cubs,New York Mets,0,1.0,1,0,0,0,0,0
3,Carlos Carrasco,New York Mets,Chicago Cubs,1,5.0,3,2,2,2,5,1
4,Phil Bickford,New York Mets,Chicago Cubs,1,1.0,0,0,0,0,1,0
5,Trevor Gott,New York Mets,Chicago Cubs,1,1.0,1,0,0,0,1,0
6,Drew Smith,New York Mets,Chicago Cubs,1,0.2,2,1,1,0,1,1
7,Josh Walker,New York Mets,Chicago Cubs,1,0.1,0,0,0,0,1,0
8,Adam Ottavino,New York Mets,Chicago Cubs,1,1.0,2,0,0,0,2,0
0,Clarke Schmidt,New York Yankees,Chicago White Sox,0,5.1,4,1,1,1,7,1
1,Michael King,New York Yankees,Chicago White Sox,0,2.2,2,0,0,0,5,0
2,Jonathan Loáisiga,New York Yankees,Chicago White Sox,0,1.0,0,0,0,0,1,0
3,Touki Toussaint,Chicago White Sox,New York Yankees,1,5.0,6,4,4,5,9,0
4,Declan Cronin,Chicago White Sox,New York Yankees,1,2.0,2,0,0,1,5,0
5,Tanner Banks,Chicago White Sox,New York Yankees,1,2.0,5,3,3,0,3,2
0,Kyle Freeland,Colorado Rockies,Milwaukee Brewers,0,6.0,8,3,3,0,4,2
1,Brent Suter,Colorado Rockies,Milwaukee Brewers,0,1.1,0,0,0,0,1,0
2,Matt Koch,Colorado Rockies,Milwaukee Brewers,0,1.2,1,0,0,0,1,0
3,Justin Lawrence,Colorado Rockies,Milwaukee Brewers,0,1.0,0,0,0,0,1,0
4,Wade Miley,Milwaukee Brewers,Colorado Rockies,1,6.0,2,1,1,3,2,1
5,Elvis Peguero,Milwaukee Brewers,Colorado Rockies,1,1.0,3,2,2,0,2,2
6,Joel Payamps,Milwaukee Brewers,Colorado Rockies,1,1.0,0,0,0,0,0,0
7,Devin Williams,Milwaukee Brewers,Colorado Rockies,1,1.0,0,0,0,1,1,0
8,Andrew Chafin,Milwaukee Brewers,Colorado Rockies,1,0.0,1,4,3,2,0,0
9,Abner Uribe,Milwaukee Brewers,Colorado Rockies,1,1.0,0,0,0,2,2,0
0,Scott Alexander,San Francisco Giants,Los Angeles Angels,0,0.0,3,3,3,0,0,0
1,Jakob Junis,San Francisco Giants,Los Angeles Angels,0,3.0,4,1,1,0,3,0
2,Alex Wood,San Francisco Giants,Los Angeles Angels,0,4.0,3,2,2,1,2,1
3,Luke Jackson,San Francisco Giants,Los Angeles Angels,0,1.0,2,1,1,1,0,0
4,Lucas Giolito,Los Angeles Angels,San Francisco Giants,1,6.0,3,3,3,3,7,0
5,Aaron Loup,Los Angeles Angels,San Francisco Giants,1,1.0,1,1,1,0,0,0
6,Dominic Leone,Los Angeles Angels,San Francisco Giants,1,2.0,1,1,1,0,1,1
0,Julio Urías,Los Angeles Dodgers,Arizona Diamondbacks,0,6.0,4,0,0,1,5,0
1,Ryan Brasier,Los Angeles Dodgers,Arizona Diamondbacks,0,1.0,1,0,0,0,2,0
2,Alex Vesia,Los Angeles Dodgers,Arizona Diamondbacks,0,0.1,1,2,2,1,0,0
3,Brusdar Graterol,Los Angeles Dodgers,Arizona Diamondbacks,0,0.2,2,0,0,0,1,0
4,Evan Phillips,Los Angeles Dodgers,Arizona Diamondbacks,0,1.0,2,2,2,1,0,0
5,Brandon Pfaadt,Arizona Diamondbacks,Los Angeles Dodgers,1,4.2,6,4,4,2,5,0
6,Joe Mantiply,Arizona Diamondbacks,Los Angeles Dodgers,1,1.1,0,0,0,0,0,0
7,Luis Frías,Arizona Diamondbacks,Los Angeles Dodgers,1,1.1,1,0,0,0,0,0
8,Kyle Nelson,Arizona Diamondbacks,Los Angeles Dodgers,1,0.2,1,0,0,0,0,0
9,Miguel Castro,Arizona Diamondbacks,Los Angeles Dodgers,1,1.0,1,1,1,1,1,0
0,Max Scherzer,Texas Rangers,Oakland Athletics,0,7.0,3,1,1,2,6,1
1,Brock Burke,Texas Rangers,Oakland Athletics,0,2.0,0,0,0,0,1,0
2,JP Sears,Oakland Athletics,Texas Rangers,1,4.0,9,4,4,1,6,0
3,Adrián Martinez,Oakland Athletics,Texas Rangers,1,4.2,4,2,2,3,5,1
4,Zach Neal,Oakland Athletics,Texas Rangers,1,0.1,0,0,0,0,0,0
0,Nick Martinez,San Diego Padres,Seattle Mariners,0,3.0,4,0,0,1,1,0
1,Scott Barlow,San Diego Padres,Seattle Mariners,0,1.1,1,1,1,1,0,0
2,Ray Kerr,San Diego Padres,Seattle Mariners,0,1.2,4,1,1,1,2,0
3,Robert Suarez,San Diego Padres,Seattle Mariners,0,1.0,0,0,0,0,1,0
4,Josh Hader,San Diego Padres,Seattle Mariners,0,1.0,0,0,0,0,1,0
5,Logan Gilbert,Seattle Mariners,San Diego Padres,1,7.0,1,0,0,0,12,0
6,Matt Brash,Seattle Mariners,San Diego Padres,1,1.0,1,0,0,1,1,0
7,Andrés Muñoz,Seattle Mariners,San Diego Padres,1,1.0,1,0,0,0,1,0
