,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR
0,Kenta Maeda,Minnesota Twins,Cincinnati Reds,0,5.0,1,0,0,1,8,0
1,Kody Funderburk,Minnesota Twins,Cincinnati Reds,0,1.0,1,0,0,1,2,0
2,Emilio Pagán,Minnesota Twins,Cincinnati Reds,0,1.0,0,0,0,0,2,0
3,Caleb Thielbar,Minnesota Twins,Cincinnati Reds,0,1.0,0,0,0,0,2,0
4,Dylan Floro,Minnesota Twins,Cincinnati Reds,0,1.0,2,0,0,0,0,0
5,Fernando Cruz,Cincinnati Reds,Minnesota Twins,1,1.2,0,1,1,1,4,0
6,Buck Farmer,Cincinnati Reds,Minnesota Twins,1,0.1,1,0,0,1,0,0
7,Daniel Duarte,Cincinnati Reds,Minnesota Twins,1,1.0,1,0,0,1,0,0
8,Alex Young,Cincinnati Reds,Minnesota Twins,1,0.1,1,1,1,1,0,1
9,Ben Lively,Cincinnati Reds,Minnesota Twins,1,4.0,7,5,5,4,4,1
10,Derek Law,Cincinnati Reds,Minnesota Twins,1,1.2,1,0,0,0,2,0
0,Joey Lucchesi,New York Mets,Miami Marlins,0,5.2,6,3,2,2,5,0
1,Reed Garrett,New York Mets,Miami Marlins,0,2.1,1,0,0,1,3,0
2,Trevor Gott,New York Mets,Miami Marlins,0,0.2,1,1,1,1,0,0
3,Braxton Garrett,Miami Marlins,New York Mets,1,6.0,5,1,0,0,7,0
4,A.J. Puk,Miami Marlins,New York Mets,1,0.2,3,0,0,0,1,0
5,Andrew Nardi,Miami Marlins,New York Mets,1,1.1,0,0,0,0,0,0
6,Tanner Scott,Miami Marlins,New York Mets,1,1.0,3,2,2,0,0,0
0,Patrick Sandoval,Los Angeles Angels,Tampa Bay Rays,0,5.0,5,2,2,3,7,1
1,Ben Joyce,Los Angeles Angels,Tampa Bay Rays,0,1.0,0,0,0,2,2,0
2,José Soriano,Los Angeles Angels,Tampa Bay Rays,0,1.0,1,0,0,0,2,0
3,Aaron Loup,Los Angeles Angels,Tampa Bay Rays,0,1.0,3,4,4,2,0,0
4,Taj Bradley,Tampa Bay Rays,Los Angeles Angels,1,5.0,3,1,1,1,6,1
5,Kevin Kelly,Tampa Bay Rays,Los Angeles Angels,1,2.0,0,0,0,0,2,0
6,Robert Stephenson,Tampa Bay Rays,Los Angeles Angels,1,1.0,2,1,1,0,1,1
7,Shawn Armstrong,Tampa Bay Rays,Los Angeles Angels,1,1.0,0,0,0,0,0,0
0,Yusei Kikuchi,Toronto Blue Jays,New York Yankees,0,5.0,4,1,1,1,7,0
