Unnamed: 0,Play,Expert,Odds,Units,Name,Payout,Profit,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,S.Kwan o0.5 Runs Scored,Thespinzone,112,0.15,S.Kwan,0.318,0.168,Cleveland Guardians,New York Yankees,1.0,0.6666666666666666,1,0.8,1,0.6,1
0,L.Nootbaar o0.5 HR,Jason Radowitz,520,0.1,L.Nootbaar,0.6200000000000001,0.5200000000000001,St Louis Cardinals,Arizona Diamondbacks,0.0,1.0,1,1.0,1,1.0,1
0,T.Wade u1.5 total bases,Rotowire,100,0.75,T.Wade,1.5,0.75,San Diego Padres,Los Angeles Dodgers,0.0,0.9166666666666666,1,1.0,1,0.9,1
1,M.Yastrzemski u1.5 total bases,Rotowire,100,0.75,M.Yastrzemski,1.5,0.75,San Francisco Giants,Tampa Bay Rays,0.0,0.9,1,0.8,1,0.9,1
0,J.Naylor o0.5 RBI,Thespinzone,140,0.15,J.Naylor,0.36,0.21,Cleveland Guardians,New York Yankees,1.0,0.4545454545454545,0,0.4,0,0.5,0
0,D.Kremer u5.5 Ks,BJCunningham,115,1.0,D.Kremer,2.15,1.15,Baltimore Orioles,Milwaukee Brewers,1.0,0.5,0,0.5,0,0.5,0
1,M.Gore u6.5 Ks,BJCunningham,105,1.0,M.Gore,2.05,1.0499999999999998,Washington Nationals,Oakland Athletics,0.0,1.0,1,1.0,1,1.0,1
2,J.Ryan u6.5 Ks,The_Oddsmaker,-135,1.35,J.Ryan,2.35,1.0,Minnesota Twins,Detroit Tigers,0.0,0.5,0,0.5,0,0.5,0
